sites	X9	X12	Mont	Name_fish	Data	Year_sampling	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9.1	X10	X11	X12.1	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33
P0720	62	622	622a	P0720	Fish_Cerrado_MS3	2016	83.3052492	83.11305475	83.22838631	83.37914564	83.40892104	83.19968557	83.23792012	82.95580625	82.99124153	82.69212076	82.25576211	82.45860577	82.152955	81.16186202	80.08706833	79.43397717	78.91163625	78.58398895	77.82469547	77.05349918	76.53767457	75.06103149	73.60092441	72.3095727	69.86616012	67.58553073	64.77728445	62.86449903	61.01026222	57.01113928	54.45443499	54.71803982	NA	NA
P0721	41	414	414b	P0721	Fish_Cerrado_MS3	2016	92.34692954	92.20442217	92.22665679	92.35892242	92.56671113	92.9608826	93.30947105	93.35384311	93.43142914	93.50325187	93.5673213	93.66764595	93.70665563	93.9169041	94.0002317	94.05526833	94.10015397	94.21331103	94.11721241	94.05170806	94.09096495	93.87128179	93.86136696	93.9907634	93.97094431	94.06641951	94.10233694	94.0260328	94.04310149	93.71581823	93.38065597	93.21981716	NA	NA
P0722	41	411	411a	P0722	Fish_Cerrado_MS3	2016	92.34692954	92.20442217	92.22665679	92.35892242	92.56671113	92.9608826	93.30947105	93.35384311	93.43142914	93.50325187	93.5673213	93.66764595	93.70665563	93.9169041	94.0002317	94.05526833	94.10015397	94.21331103	94.11721241	94.05170806	94.09096495	93.87128179	93.86136696	93.9907634	93.97094431	94.06641951	94.10233694	94.0260328	94.04310149	93.71581823	93.38065597	93.21981716	NA	NA
P0730	45	452	452a	P0730	Fish_Cerrado_MS3	2016	81.36383493	81.33524852	81.46003694	81.71190848	81.82812574	81.87358058	81.78666262	81.88285377	82.08994276	82.14041432	82.15634385	82.3676346	82.50895162	82.61601568	82.65974146	82.56044698	82.84986717	83.05344876	82.84373816	82.66231346	83.00852564	82.83042772	82.64267588	82.51198472	81.96686662	82.09602702	82.54358675	82.46101788	82.73315854	83.01986148	82.86374244	82.72550103	NA	NA
P0731	36	362	362a	P0731	Fish_Cerrado_MS3	2013	84.2075077	84.34158365	84.43359005	84.37761821	84.57655584	84.59816868	84.74188965	85.17524308	85.24143025	85.34110912	85.42344666	85.4448556	85.53231693	85.52952491	85.32835695	85.30035455	85.28081859	85.11880317	84.92912556	84.74828023	84.48915753	84.11529734	84.14641464	84.15413061	83.89189757	83.79384521	83.40906661	83.07110388	83.12974208	NA	NA	NA	NA	NA
P0737	41	415	415a	P0737	Fish_Cerrado_MS3	2016	92.34692954	92.20442217	92.22665679	92.35892242	92.56671113	92.9608826	93.30947105	93.35384311	93.43142914	93.50325187	93.5673213	93.66764595	93.70665563	93.9169041	94.0002317	94.05526833	94.10015397	94.21331103	94.11721241	94.05170806	94.09096495	93.87128179	93.86136696	93.9907634	93.97094431	94.06641951	94.10233694	94.0260328	94.04310149	93.71581823	93.38065597	93.21981716	NA	NA
P0738	44	442	442a	P0738	Fish_Cerrado_MS3	2016	93.70910585	93.63756677	93.57818483	93.62150624	93.65697727	93.75622043	93.98217573	94.06644662	94.24144261	94.28090361	94.23831747	94.24519365	94.24932489	94.25191661	94.24357729	94.24878182	94.27798296	94.28974861	94.18502226	94.14752361	94.16201788	94.05023087	94.00817346	93.9694522	93.84903686	93.90422604	93.80405535	93.62261512	93.19595334	92.8092293	92.42900188	92.33208248	NA	NA
P0739	44	441	441a	P0739	Fish_Cerrado_MS3	2016	93.70910585	93.63756677	93.57818483	93.62150624	93.65697727	93.75622043	93.98217573	94.06644662	94.24144261	94.28090361	94.23831747	94.24519365	94.24932489	94.25191661	94.24357729	94.24878182	94.27798296	94.28974861	94.18502226	94.14752361	94.16201788	94.05023087	94.00817346	93.9694522	93.84903686	93.90422604	93.80405535	93.62261512	93.19595334	92.8092293	92.42900188	92.33208248	NA	NA
P0740	44	441	441b	P0740	Fish_Cerrado_MS3	2016	93.70910585	93.63756677	93.57818483	93.62150624	93.65697727	93.75622043	93.98217573	94.06644662	94.24144261	94.28090361	94.23831747	94.24519365	94.24932489	94.25191661	94.24357729	94.24878182	94.27798296	94.28974861	94.18502226	94.14752361	94.16201788	94.05023087	94.00817346	93.9694522	93.84903686	93.90422604	93.80405535	93.62261512	93.19595334	92.8092293	92.42900188	92.33208248	NA	NA
P0742	41	416	416a	P0742	Fish_Cerrado_MS3	2016	92.34692954	92.20442217	92.22665679	92.35892242	92.56671113	92.9608826	93.30947105	93.35384311	93.43142914	93.50325187	93.5673213	93.66764595	93.70665563	93.9169041	94.0002317	94.05526833	94.10015397	94.21331103	94.11721241	94.05170806	94.09096495	93.87128179	93.86136696	93.9907634	93.97094431	94.06641951	94.10233694	94.0260328	94.04310149	93.71581823	93.38065597	93.21981716	NA	NA
P0744	62	621	621a	P0744	Fish_Cerrado_MS3	2016	83.3052492	83.11305475	83.22838631	83.37914564	83.40892104	83.19968557	83.23792012	82.95580625	82.99124153	82.69212076	82.25576211	82.45860577	82.152955	81.16186202	80.08706833	79.43397717	78.91163625	78.58398895	77.82469547	77.05349918	76.53767457	75.06103149	73.60092441	72.3095727	69.86616012	67.58553073	64.77728445	62.86449903	61.01026222	57.01113928	54.45443499	54.71803982	NA	NA
P0745	43	434	434b	P0745	Fish_Cerrado_MS3	2016	90.46069514	90.43883386	90.40683724	90.88308597	91.0657689	91.26437901	91.3737188	91.36175965	91.41721593	91.48385947	91.34237651	91.33701324	91.3319696	91.35242372	91.32632514	91.27654949	91.27948696	91.2319873	91.02151585	90.92583286	90.84142887	90.69599185	90.71062534	90.59340884	90.55345371	90.38162225	90.31336662	89.8681026	89.0259174	87.83638653	87.2638142	87.18212462	NA	NA
