"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0264","P0264",-12.793207,-60.313832,"RO62","Fish_Amazonia_RO",3,101,"P0264",2018,30.36491046,16.05839416,0,0,10,33
"P0265","P0265",-12.796717,-60.253362,"RO63","Fish_Amazonia_RO",4,101,"P0265",2018,30.36491046,73.89951089,0,0,10,33
"P0266","P0266",-12.785675,-60.409268,"RO64","Fish_Amazonia_RO",4,101,"P0266",2018,30.36491046,84.48815378,0,0,10,33
"P0271","P0271",-11.734409,-61.388532,"RO69","Fish_Amazonia_RO",16,102,"P0271",2018,75.27787179,0,22,30,33,33
"P0272","P0272",-11.831469,-61.402675,"RO70","Fish_Amazonia_RO",12,102,"P0272",2018,75.27787179,96.90446904,22,30,33,33
"P0276","P0276",-11.935457,-61.468521,"RO74","Fish_Amazonia_RO",17,102,"P0276",2018,75.27787179,95.13274336,22,30,33,33
"P0277","P0277",-11.870273,-61.426755,"RO75","Fish_Amazonia_RO",22,102,"P0277",2018,75.27787179,95.15169542,22,30,33,33
"P0281","P0281",-32.231235,-53.436979,"JAG1401","fish_CamposSulinos_RS",22,1,"P0281",2014,28.7405719,5.607539099,0,0,0,29
"P0282","P0282",-32.241086,-53.454674,"JAG1402","fish_CamposSulinos_RS",29,1,"P0282",2014,28.7405719,13.01384741,0,0,0,29
"P0283","P0283",-32.252567,-53.39548,"JAG1403","fish_CamposSulinos_RS",20,1,"P0283",2014,28.7405719,12.19211823,0,0,0,29
"P0289","P0289",-30.304496,-55.92623,"QUA1301","fish_CamposSulinos_RS",30,4,"P0289",2014,8.967671908,15.36656293,0,0,0,29
"P0290","P0290",-30.292338,-55.966083,"QUA1302","fish_CamposSulinos_RS",18,4,"P0290",2014,8.967671908,0.5739203826,0,0,0,29
"P0291","P0291",-30.28349,-55.97125,"QUA1303","fish_CamposSulinos_RS",26,4,"P0291",2014,8.967671908,20.71953782,0,0,0,29
"P0292","P0292",-28.544939,-55.480953,"SAM1301","fish_CamposSulinos_RS",27,5,"P0292",2014,32.74931517,16.02836145,0,0,29,29
"P0293","P0293",-28.552564,-55.437127,"SAM1302","fish_CamposSulinos_RS",26,5,"P0293",2014,32.74931517,13.70713366,0,0,29,29
"P0294","P0294",-28.51503,-55.469611,"SAM1303","fish_CamposSulinos_RS",19,5,"P0294",2014,32.74931517,12.64451746,0,0,29,29
"P0301","P0301",-30.854714,-53.22713,"SBV1301","fish_CamposSulinos_RS",18,2,"P0301",2014,5.50144932,0.9425690487,0,0,0,29
"P0302","P0302",-30.85017,-53.240583,"SBV1302","fish_CamposSulinos_RS",23,2,"P0302",2014,5.50144932,0.5262404239,0,0,0,29
