Sites;A_aff_fasciatus;A_aff_paranae;A_altiparanae;A_bockmanni;A_ibitiensis;Apareiodon_sp;A_piracicabae;B_stramineus;C_aeneus;C_aff_zebra;C_britskii;C_callichthys;C_iheringi;C_niederleinii;E_erythrinus;G_brasiliensis;G_inaequilabiatus;Gymnotus_sp;H_aff_ancistroides;H_aff_malabaricus;H_aff_strigaticepis;Hisonotus_sp;H_nigromaculatus;Hypostomus_sp;I_borodini;I_mirini;Neoplecortomus_sp;O_niloticus;P_avanhandavae;Piabina_sp;P_reticulata;P_tenebrosa;Rineloricaria_sp;R_quelen;S_marmoratus;S_notomelas;T_diabulus;X_helleri
P1089;44;0;40;0;0;0;0;0;101;22;6;2;1;0;0;2;31;0;12;2;0;0;0;0;0;37;0;0;1;6;12;0;0;12;10;0;0;0
P1110;31;3;0;2;0;0;0;17;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;302;0;0;0;7;19;0;0;11;0;0;0;0
