9_sig	12_sig	Mont_sig	Name_fish	Data	Year_sampling	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
119	1191	1191a	P0057	Fish_Amazonia_PA	2011	0.1234796567	0.04939186269	0.1543495709	0.1482213439	0.3333950732	0.4260048157	0.5247885411	0.4445267642	0.03086991418	0	1.006359202	2.401679323	2.426375255	1.975674508	5.389887016	6.312928532	8.791548252	8.365253923	4.102310639	1.358276224	0.9631413225	1.080446996	1.599061555	1.77258971	1.494565217	1.482213439	2.291254941	NA	NA	NA	NA	NA	NA	NA
118	1181	1181b	P0060	Fish_Amazonia_PA	2011	14.05257919	16.48419535	16.97326423	18.08130751	17.73310213	16.60429185	18.74592443	16.67982291	4.779146789	2.13989086	7.445859217	11.52486529	9.438171397	7.159282013	17.83814394	20.82232213	19.94404682	16.8185641	15.05553553	9.117122065	6.131379346	4.358719154	4.545766551	6.690805505	6.740570409	6.670213131	6.279604586	NA	NA	NA	NA	NA	NA	NA
116	1161	1161a	P0066	Fish_Amazonia_PA	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
115	1151	1151a	P0067	Fish_Amazonia_PA	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
117	1172	1172a	P0070	Fish_Amazonia_PA	2011	0.8089324371	0.9114731685	0.6722114618	0.4443431696	0.2962287798	0.2164748775	0.2164748775	0.1367209753	0.09114731685	0.2050814629	0.2848353652	0.5696707303	0.6608180472	0.5696707303	0.1481143899	0.3418024382	0.3873760966	0.4215563404	0.4557365843	0.2278682921	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
117	1171	1171b	P0071	Fish_Amazonia_PA	2011	72.87174721	71.51087159	65.25777984	59.18044973	48.26753367	39.97213191	28.22108686	22.49883883	11.11936832	7.728750581	6.028797027	4.003715745	5.369252206	5.229911751	1.077566187	0.6688341849	0.5945192754	0.1764979099	0.05573618207	0.07431490943	0.09289363679	0.03715745471	0.03715745471	0.03715745471	0.03715745471	0.009289363679	0	NA	NA	NA	NA	NA	NA	NA
117	1171	1171a	P0072	Fish_Amazonia_PA	2011	47.4128234	52.81214848	58.63329584	50.61867267	33.32395951	26.6591676	18.61642295	8.35208099	3.655793026	2.109111361	0.6749156355	0.6467941507	0.6467941507	0.449943757	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
118	1182	1182a	P0076	Fish_Amazonia_PA	2011	14.01052412	14.13338279	14.43009806	14.71754097	14.76561413	15.10409422	15.32256195	15.05829991	14.95398595	14.84503581	15.09538932	15.32951622	15.40369503	15.28547254	14.71692864	14.4619094	13.56659247	12.37015396	11.16623009	11.53944227	12.42958808	12.85379819	13.35914138	13.64890239	13.47272769	13.18992095	12.8514801	NA	NA	NA	NA	NA	NA	NA
118	1181	1181a	P0077	Fish_Amazonia_PA	2011	14.79549441	14.95706768	15.08170991	15.25251593	15.31252885	15.39562367	15.42332195	15.36330902	15.27098144	15.15557197	15.25251593	15.69107192	15.91727449	15.99575293	15.66337365	11.43015419	0.7986335518	0.3554611763	0.106176715	0.06924568369	0.05078016804	0	0	0.8263318253	0.9648231927	0.8494137199	0.581690596	NA	NA	NA	NA	NA	NA	NA
121	1211	1211a	P0086	Fish_Amazonia_PA	2011	21.19198475	20.92412301	21.09926338	20.23386391	20.08447947	16.98346469	16.40653171	15.81929635	14.36151033	14.07819502	11.73440478	9.153659919	5.929016638	4.646370989	3.966414258	0	0.08757018493	0.6078401071	0.767526915	0.767526915	0.767526915	0.767526915	0	0.2575593674	0.2575593674	0.2575593674	0.2575593674	NA	NA	NA	NA	NA	NA	NA
