Name_fish	9_sig	12_sig	Up_sig	Mont_temperaturamean	Mont_precmean	Geologia	_topografiaCV	Area	Fresh_ecor
P1276	44	442	442b	22.16708317	1553.6	Sedimentar	4.192040871	7.836	Up_Parana
P1289	104	1041	1041b	24.52604119	2070	rock	5.897544881	9.381	Madeira
P1292	108	1083	1083a	24.68981467	1941.888889	rock	5.00304301	6.422	Tapaj_Juru
P1294	9	92	92a	16.43574071	1497.741766	rock	1.98373382	0.903	Iguassu
P1295	109	1091	1091a	24.59583349	1916.25	rock	5.912753498	15.671	Madeira
P1297	99	992	992d	24.18916683	1544.2	rock	17.24113815	9.719	Tocantins
P1298	99	991	991a	23.42323714	1580.576923	rock	14.68509135	22.149	Tocantins
P1299	109	1091	1091b	24.51319464	1908.291667	rock	4.849425411	18.871	Madeira
P1303	80	802	802a	21.70865367	1585.384615	rock	4.345463306	21.1	Up_Parana
P1304	80	801	801a	21.17083311	1600.25	rock	2.867839667	2.519	Up_Parana
P1307	80	802	802b	21.31190463	1596.357143	rock	5.272210827	12.915	Up_Parana
P1312	53	532	532a	21.59978258	1482.165217	rock	4.577597099	92.513	Up_Parana
P1313	56	562	562a	21.50638224	1492.465499	rock	1.372757468	0.691	Paraguay
P1314	57	571	571a	23.13694414	1423.228897	rock	2.790417217	0.912	Paraguay
P1317	56	561	561b	22.79797286	1416.054054	rock	11.5248296	30.595	Paraguay
P1319	76	761	761a	23.11586263	1439.894737	rock	4.86195432	49.257	Up_Parana
P1320	68	682	682a	22.7351852	1197.222222	rock	5.106096189	6.518	Up_Parana
P1321	68	682	682b	22.76597766	1190.421421	rock	2.611394511	1.112	Up_Parana
P1322	58	581	581b	23.77564107	1282.230769	rock	22.17422599	10.346	Paraguay
P1323	60	602	602a	24.08333397	1426	rock	6.792954921	1.727	Paraguay
P1324	77	771	771a	23.36449989	1455.2	rock	5.286163753	19.841	Up_Parana
P1325	75	751	751a	23.08012816	1243.769231	rock	4.358154798	11.013	Up_Parana
P1326	74	743	743a	23.25145826	1176	rock	4.728825702	13.498	Up_Parana
P1343	100	1002	1002c	23.59404768	1566.214286	rock	12.23477462	12.717	Tocantins
P1346	80	803	803a	21.17812538	1591.75	rock	5.07767164	3	Up_Parana
P1347	9	91	91a	16.44740635	1491.160936	rock	1.917258929	1.133	Iguassu
P1348	100	1002	1002a	24.04374981	1552.5	rock	11.87043399	1.807	Tocantins
P1349	102	1023	1023a	24.63273811	1765.285714	rock	4.093334625	5.943	Madeira
P1350	102	1024	1024a	24.55416679	1740.5	rock	3.017205781	0.604	Madeira
P1351	100	1001	1001a	23.7307291	1568.875	rock	13.54076884	6.046	Tocantins
P1352	100	1001	1001b	23.60643907	1572.090909	rock	13.39129675	9.228	Tocantins
P1881	66	661	661a	22.60892868	1209	Sedimentar	3.671107989	6.895	Up_Parana
P1980	62	621	621a	22.71583309	1429.4	Sedimentar	5.830854629	8.13	Up_Parana
P3224	32	322	322a	21.95925144	1558.237288	rock	5.08129259	46.88	Up_Parana
P3225	3	32	32a	18.6804688	1504.875	rock	14.42657164	12.03	Low_Urugua
P3237	32	321	321a	22.14131927	1540.5	rock	7.487977941	9.395	Up_Parana
P3238	23	233	233a	19.71805541	1360.5	rock	3.542098937	4.092	Up_Parana
P3239	21	212	212a	19.16898134	1281.666667	rock	6.187747789	7.773	Up_Parana
P3240	21	211	211b	19.08194478	1270.666667	rock	4.678841227	2.971	Up_Parana
P3241	2	22	22b	18.65402778	1497.2	rock	14.85465577	43.129	Lag_Patos
P3242	122	1221	1221a	22.04680564	1496.4	rock	6.457505519	22.635	Up_Parana
P3245	122	1222	1222a	21.91597207	1519.5	rock	3.549579396	4.822	Up_Parana
P3246	113	1133	1133a	25.69722212	1844.809524	rock	15.04517512	16.718	Low_Amazon
P3247	113	1133	1133b	25.66453696	1853.8	rock	14.25679426	39.184	Low_Amazon
P3248	113	1132	1132b	25.7100695	1855.083333	rock	17.33696961	9.962	Low_Amazon
P3249	113	1132	1132a	25.6520834	1849.5	rock	9.8883979	1.857	Low_Amazon
