pto;ID_Name;Latitude;Longitude
P0428;Fish_Cerrado_MG;-19.247063;-47.139254
P0441;Fish_Cerrado_MG;-18.96551;-50.049389
P0444;Fish_Cerrado_MG;-18.971853;-49.698615
P0445;Fish_Cerrado_MG;-18.978665;-49.911258
P0450;Fish_Cerrado_MG;-18.837748;-50.006148
P0461;Fish_Cerrado_MG;-18.952621;-49.784595
P0472;Fish_Cerrado_MG;-18.459969;-44.990179
P0474;Fish_Cerrado_MG;-19.237036;-45.371235
P0476;Fish_Cerrado_MG;-18.404963;-44.98985
P0477;Fish_Cerrado_MG;-19.076318;-45.164636
P0478;Fish_Cerrado_MG;-18.439856;-45.671266
P0480;Fish_Cerrado_MG;-18.542022;-45.611535
P0481;Fish_Cerrado_MG;-19.193392;-45.206606
P0482;Fish_Cerrado_MG;-18.516502;-45.018787
P0486;Fish_Cerrado_MG;-19.2274;-45.237008
P0489;Fish_Cerrado_MG;-18.326619;-45.003445
P0499;Fish_Cerrado_MG;-19.181316;-45.446763
P0507;Fish_Cerrado_MG;-19.148292;-45.436062
P0511;Fish_Cerrado_MG;-19.788006;-47.722379
P0514;Fish_Cerrado_MG;-19.751954;-47.820348
P0518;Fish_Cerrado_MG;-19.855153;-47.818215
P0527;Fish_Cerrado_MG;-19.753246;-47.792154
P0536;Fish_Cerrado_MG;-19.785872;-47.786184
P0547;Fish_Cerrado_MS;-22.94919;-55.59873
P0548;Fish_Cerrado_MS;-23.05401;-55.58702
P0549;Fish_Cerrado_MS;-23.14588;-55.17215
P0553;Fish_Cerrado_MS;-23.07698;-54.15405
P0555;Fish_Cerrado_MS;-22.77628;-54.99106
P0556;Fish_Cerrado_MS;-22.64717;-54.82694
P0559;Fish_Cerrado_MS;-23.21651;-54.02581
P0561;Fish_Cerrado_MS;-22.84408;-54.82436
P0562;Fish_Cerrado_MS;-22.80231;-54.54893
P0564;Fish_Cerrado_MS;-23.0429;-54.51001
P0569;Fish_Cerrado_MS;-22.73446;-54.71685
P0573;Fish_Cerrado_MS;-23.17932;-55.53846
P0574;Fish_Cerrado_MS;-23.2406;-55.53552
P0575;Fish_Cerrado_MS;-23.1687;-55.34413
P0576;Fish_Cerrado_MS;-23.13083;-55.22092
P0577;Fish_Cerrado_MS;-23.10379;-55.17038
P0578;Fish_Cerrado_MS;-23.04425;-55.1143
P0580;Fish_Cerrado_MS;-22.92585;-54.50236
P0593;Fish_Cerrado_MS;-22.86617;-54.58963
P0595;Fish_Cerrado_MS;-22.78275;-54.53992
P0597;Fish_Cerrado_MS;-23.04361;-55.18116
P0609;Fish_Cerrado_MS;-23.019241;-54.230567
P0614;Fish_Cerrado_MS2;-22.14518;-56.30818
P0633;Fish_Cerrado_MS2;-21.97174;-56.7474
P0642;Fish_Cerrado_MS2;-21.08954;-56.73795
