ID_Point,ID_File,ID_Name,Group,Biome,Latitude,Longitude,Name,Description,Icon,X.Deforestation,Altitude,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,Density,Hand50,Hand100,Hand500,SA2001Tree,Slope,UTMZone,ClasseSolo,PercMA50m,PercMA100m,PercMA200m,PercMA500m,listabiomas
P0273,Fish_Amazonia_RO.xlsxP71,Fish_Amazonia_RO,Fish,Amazonia,-11.837989,-61.561282,RO71,Fish_Amazonia_RO,170,86.22222223,245.95,235.38,130,69.38,542.05,326.5,140.88,185.62,236.5,230.38,240.38,226.88,1831.13,283.88,9,69,839.75,52,266,86.76,16.66,20.79,48.02,67.21,16.52,1.58,20,Argissolos Vermelhos Eutroficos,0,0,0,0.13,AMAZONIA
P0274,Fish_Amazonia_RO.xlsxP72,Fish_Amazonia_RO,Fish,Amazonia,-11.763113,-61.548557,RO72,Fish_Amazonia_RO,170,72.22222222,217.42,237.2,130,69.35,527.59,328.48,142.69,185.79,238.2,232.35,242.2,228.85,1854.01,288.63,10,69,850.11,52.49,264.49,88.35,16.09,5.5,24.08,38.68,23.56,1.88,20,Argissolos Vermelhos Eutroficos,0,0.04,0.07,0.14,AMAZONIA
P0275,Fish_Amazonia_RO.xlsxP73,Fish_Amazonia_RO,Fish,Amazonia,-11.74567,-61.547352,RO73,Fish_Amazonia_RO,170,44.36363636,214.47,237.76,130,69,522.82,329,143,186,238.76,232.76,242.43,229.43,1857.51,289.76,10,69,852.18,53,264,89,16.52,9.9,12.88,35.73,43.58,1.76,20,Cambissolos Haplicos Ta Eutroficos,0,0,0,0.02,AMAZONIA
P0276,Fish_Amazonia_RO.xlsxP74,Fish_Amazonia_RO,Fish,Amazonia,-11.935457,-61.468521,RO74,Fish_Amazonia_RO,170,30.51948054,276.16,233.27,130,69.27,534,324.91,139.27,185.64,235.27,228.27,238.91,225.27,1803.84,285.98,9,69,838.51,51,267,86,22,47.72,48.27,82.93,73.33,1.08,20,Argissolos Vermelhos Eutroficos,0.01,0.16,0.21,0.06,AMAZONIA
P0277,Fish_Amazonia_RO.xlsxP75,Fish_Amazonia_RO,Fish,Amazonia,-11.870273,-61.426755,RO75,Fish_Amazonia_RO,170,53.61445784,241.36,235.6,130,69.94,518.25,326,140.94,185.06,237,230,240.56,227,1829.11,292.52,10,69,851.48,52,266,88,14.26,34.91,31.33,36.95,18.16,1.38,20,Argissolos Vermelhos Eutroficos,0.02,0.14,0.18,0.13,AMAZONIA
P0278,Fish_CamposSulinos_RS.xlsxP1,Fish_CamposSulinos_RS,Fish,Pampa,-29.763297,-55.381141,ALE1301,fish_CamposSulinos_RS,156,54.68066459,145.66,185.45,116,49.25,4074.46,310.04,77.07,232.97,183.82,136.45,238.89,136.45,1674.35,171.4,110.93,11,468.96,375.88,404.18,375.88,14.67,55.3,69.09,77.17,17.25,2.29,21,Latossolos Vermelhos Distroficos,0.39,0.35,0.3,0.27,PAMPA
P0279,Fish_CamposSulinos_RS.xlsxP2,Fish_CamposSulinos_RS,Fish,Pampa,-29.768941,-55.398571,ALE1302,fish_CamposSulinos_RS,156,20.27651155,133.75,187.35,116,49,4108.24,312.35,78.57,233.78,185.26,137.57,241.05,137.57,1662.64,170.91,110.22,11,467.35,372.08,401.65,372.08,13.09,39.05,51,65.26,16.05,6.48,21,Latossolos Vermelhos Distroficos,1,0.95,0.9,0.64,PAMPA
P0280,Fish_CamposSulinos_RS.xlsxP3,Fish_CamposSulinos_RS,Fish,Pampa,-29.780183,-55.415024,ALE1303,fish_CamposSulinos_RS,156,68.74773291,114.04,187.21,116,49.22,4074.7,311.44,78.43,233.01,185.21,137.44,239.99,137.44,1662.37,170.57,110,11,467.12,371.12,402.35,371.12,10.92,6.22,37.8,45.55,14.44,1.92,21,Latossolos Vermelhos Distroficos,0.83,0.85,0.85,0.76,PAMPA
P0281,Fish_CamposSulinos_RS.xlsxP4,Fish_CamposSulinos_RS,Fish,Pampa,-32.231235,-53.436979,JAG1401,fish_CamposSulinos_RS,156,56.63078133,96.47,176.06,108,49,3743.17,295.44,77.15,218.29,138.21,214.29,222.29,128.44,1243.38,123.77,75.71,12.06,350.77,258.71,312.33,342,16.72,29.24,36.7,65.08,14.85,3.4,22,Argissolos Vermelho-Amarelos Distroficos,0.92,0.72,0.53,0.2,PAMPA
P0282,Fish_CamposSulinos_RS.xlsxP5,Fish_CamposSulinos_RS,Fish,Pampa,-32.241086,-53.454674,JAG1402,fish_CamposSulinos_RS,156,32.97035407,76.86,176.4,108.41,49,3761.84,296.4,77,219.4,138.41,214.99,223,129,1237.98,123,75,12,349.19,257.6,295.16,340.79,24.64,9.63,18.04,45.47,15.78,1.79,22,Argissolos Vermelho-Amarelos Distroficos,1,1,0.85,0.68,PAMPA
P0283,Fish_CamposSulinos_RS.xlsxP6,Fish_CamposSulinos_RS,Fish,Pampa,-32.252567,-53.39548,JAG1403,fish_CamposSulinos_RS,156,68.40155546,96.65,175.86,107.76,49,3732.22,295.31,77.31,218,138.31,213.66,222.62,129.31,1245.17,123.45,76,12,351.24,259.69,313.14,343.24,19.51,13.9,36.42,65.26,15.74,1.83,22,Argissolos Vermelho-Amarelos Distroficos,0.96,0.58,0.35,0.2,PAMPA
P0284,Fish_CamposSulinos_RS.xlsxP7,Fish_CamposSulinos_RS,Fish,Pampa,-30.922966,-54.503307,LAV14010,fish_CamposSulinos_RS,156,90.74130178,198.59,183.05,113,51,3666.92,304.05,85.21,218.84,201.21,223.64,226.05,137.05,1333.7,129.2,88,10,366,298,322,322.3,22.27,1.32,9.22,4.51,14.76,6.38,21,Neossolos Litolicos Eutroficos,0.9,0.76,0.52,0.35,PAMPA
P0285,Fish_CamposSulinos_RS.xlsxP8,Fish_CamposSulinos_RS,Fish,Pampa,-30.791678,-54.39869,LAV1401,fish_CamposSulinos_RS,156,76.65478506,195.81,183.7,112,51,3607.82,302.69,86.66,216.03,201.66,223.69,225.69,138.66,1372.41,132.3,92.3,9,371.3,307.6,330.6,335.6,17.85,32.2,51.32,82.21,20.7,1.67,21,Neossolos Litolicos Eutroficos,0.31,0.19,0.12,0.07,PAMPA
P0286,Fish_CamposSulinos_RS.xlsxP9,Fish_CamposSulinos_RS,Fish,Pampa,-30.801192,-54.414419,LAV1402,fish_CamposSulinos_RS,156,42.73917792,180.06,184.56,112,51,3622.8,303.56,87,216.56,202.48,224.48,226.66,139,1363.3,131.93,91.93,9,370,305.93,328.93,332,12.52,14.57,28.67,66.46,16.91,2.81,21,Neossolos Litolicos Eutroficos,0.82,0.66,0.43,0.34,PAMPA
P0287,Fish_CamposSulinos_RS.xlsxP10,Fish_CamposSulinos_RS,Fish,Pampa,-30.783288,-54.439343,LAV1403,fish_CamposSulinos_RS,156,22.06865753,163.5,185.99,112,51,3645.81,304.99,87.99,217,203.58,225.96,228.96,139.56,1364.44,132,92,9,371.03,306,329.37,332.41,13.85,8.6,11.01,49.9,15.8,1.73,21,Neossolos Litolicos Eutroficos,0.57,0.51,0.32,0.23,PAMPA
P0288,Fish_CamposSulinos_RS.xlsxP11,Fish_CamposSulinos_RS,Fish,Pampa,-30.913058,-54.939024,LAVEX1402,fish_CamposSulinos_RS,156,99.99420401,142.95,185.82,116.18,50,3924.99,311.82,81,230.82,209,137.18,234.82,137,1356.65,136,89.18,12,386.4,306.07,333.18,307.89,23.55,16.94,11.53,17.52,9.94,0.55,21,Planossolos Haplicos Eutroficos,0,0,0.05,0.09,PAMPA
P0289,Fish_CamposSulinos_RS.xlsxP12,Fish_CamposSulinos_RS,Fish,Pampa,-30.304496,-55.92623,QUA1301,fish_CamposSulinos_RS,156,87.41065305,147.4,188,120,49,4333.44,319,75.42,243.58,187,135.43,245.43,135.43,1464.41,143,101,11,410.42,321,366.99,321,18.73,7.59,15.53,35.16,18.27,3.45,21,Neossolos Litolicos Eutroficos,0.91,0.62,0.43,0.23,PAMPA
P0290,Fish_CamposSulinos_RS.xlsxP13,Fish_CamposSulinos_RS,Fish,Pampa,-30.292338,-55.966083,QUA1302,fish_CamposSulinos_RS,156,50.96802145,159.95,187.89,120,49,4331.39,318.61,74.89,243.73,186.89,134.98,244.89,134.98,1461.55,143,99.3,11,409.41,318.71,366.3,318.71,20.88,0.82,8.93,47.71,11.04,1.17,21,Neossolos Litolicos Eutroficos,0.99,0.82,0.49,0.25,PAMPA
P0291,Fish_CamposSulinos_RS.xlsxP14,Fish_CamposSulinos_RS,Fish,Pampa,-30.28349,-55.97125,QUA1303,fish_CamposSulinos_RS,156,56.23070768,182.18,187.61,120,49,4341.49,318.61,74.61,244,187,134.61,245,134.61,1462.29,143,99,11.39,409.95,318,366.95,318,21.15,22.41,0.76,69.94,13.19,1.48,21,Neossolos Litolicos Eutroficos,0.87,0.51,0.4,0.21,PAMPA
P0292,Fish_CamposSulinos_RS.xlsxP15,Fish_CamposSulinos_RS,Fish,Pampa,-28.544939,-55.480953,SAM1301,fish_CamposSulinos_RS,156,36.37272011,102.68,206.75,121,52,3799.76,327,96.24,230.76,199.75,158.42,253,158.42,1721.64,185.76,110.42,13,497.18,378.1,395.85,429.67,13.75,17.66,22.73,38.82,15.52,1.23,21,Neossolos Litolicos Eutroficos,1,1,0.87,0.45,PAMPA
P0293,Fish_CamposSulinos_RS.xlsxP16,Fish_CamposSulinos_RS,Fish,Pampa,-28.552564,-55.437127,SAM1302,fish_CamposSulinos_RS,156,33.06342538,102.5,207,120.33,52,3788.73,326.54,96.67,229.88,200,159,253,158.77,1732.38,186,112.23,13,497,382.91,398,432.68,12.32,14.47,11.11,38.64,14.48,1.23,21,Neossolos Litolicos Eutroficos,1,0.97,0.75,0.45,PAMPA
P0294,Fish_CamposSulinos_RS.xlsxP17,Fish_CamposSulinos_RS,Fish,Pampa,-28.51503,-55.469611,SAM1303,fish_CamposSulinos_RS,156,66.04019292,103.89,206.87,121,52,3774.63,326.35,96.87,229.48,199.87,159,252.87,158.87,1726.5,186.13,111,13,498.13,380.27,396.82,431.27,19,16.56,11.59,40.03,12.62,1.32,21,Neossolos Litolicos Eutroficos,1,0.92,0.53,0.36,PAMPA
P0295,Fish_CamposSulinos_RS.xlsxP18,Fish_CamposSulinos_RS,Fish,Pampa,-29.386775,-54.777171,SAT1401,fish_CamposSulinos_RS,156,58.11174113,181.28,190.95,115,51,3797.74,308.95,85.51,223.44,159.56,230.88,238.49,143.56,1762.82,169.05,128.44,8,469.1,410.22,416.1,421.49,21.27,40.22,46.5,40.22,18.06,2.95,21,Argissolos Vermelhos Distroficos,0.98,0.7,0.41,0.24,ATLANTIC FOREST
P0296,Fish_CamposSulinos_RS.xlsxP19,Fish_CamposSulinos_RS,Fish,Pampa,-29.219682,-54.753204,SAT1402,fish_CamposSulinos_RS,156,44.78814538,239.97,192.74,116,51.56,3766.71,309.74,86.3,223.44,161.3,231.59,239.59,145.3,1792.62,171.7,130.7,8,477.67,420.41,422.41,428.67,27.53,6.47,12.29,41.58,19.62,4.31,21,Neossolos Litolicos Eutroficos,0.8,0.72,0.53,0.46,PAMPA
P0297,Fish_CamposSulinos_RS.xlsxP20,Fish_CamposSulinos_RS,Fish,Pampa,-29.06387,-55.086094,SAT1403,fish_CamposSulinos_RS,156,54.16144067,288.27,193.13,118,51.56,3791.5,312.26,85.69,226.57,162.59,146,240.13,146,1803.16,182.06,125,10,492.37,417,421.87,447.69,8.63,54.21,100.2,129.45,14.01,1.24,21,Neossolos Litolicos Eutroficos,0.96,0.78,0.46,0.41,PAMPA
P0298,Fish_CamposSulinos_RS.xlsxP21,Fish_CamposSulinos_RS,Fish,Pampa,-29.107878,-54.573496,SAT1404,fish_CamposSulinos_RS,156,63.35840015,337.73,191.31,116,52,3703.79,307.31,85.98,221.33,160.31,237.31,237.31,144.99,1818.8,171,135,8,481.74,428.04,428.04,441.03,9.1,28.75,11.27,95,15.92,4.03,21,Latossolos Vermelhos Distroficos,0.88,0.65,0.35,0.2,PAMPA
P0299,Fish_CamposSulinos_RS.xlsxP22,Fish_CamposSulinos_RS,Fish,Pampa,-29.342805,-55.092778,SAT1405,fish_CamposSulinos_RS,156,39.91642488,278.7,187.66,117,51,3863.84,307.66,79.83,227.83,183.83,227.28,235.83,139.82,1774.72,178,123,10,485.17,410.19,417.18,411.35,8.62,83.37,113.12,172.38,31.18,6.69,21,Neossolos Litolicos Eutroficos,0.33,0.28,0.26,0.37,ATLANTIC FOREST
P0300,Fish_CamposSulinos_RS.xlsxP23,Fish_CamposSulinos_RS,Fish,Pampa,-29.401742,-54.7128,SAT1406,fish_CamposSulinos_RS,156,71.15380747,232.24,192.01,115,51,3771.04,309.1,86.4,222.7,160.4,231.1,239.1,144.87,1756.71,166.61,129.14,7,465.11,410.36,415.75,422.35,18.87,103.56,125.02,103.56,30.03,3.53,21,Argissolos Vermelhos Distroficos,0.29,0.17,0.14,0.06,ATLANTIC FOREST
P0301,Fish_CamposSulinos_RS.xlsxP24,Fish_CamposSulinos_RS,Fish,Pampa,-30.854714,-53.22713,SBV1301,fish_CamposSulinos_RS,156,58.24819867,219.49,185.64,100,49,3441.51,295,93,202,152.64,221.11,227.11,142.11,1426.98,135,95,11,401.36,319.87,367.69,395,11.53,34.83,25.7,98.59,26.24,5.71,22,Neossolos Litolicos Eutroficos,1,0.91,0.68,0.43,PAMPA
P0302,Fish_CamposSulinos_RS.xlsxP25,Fish_CamposSulinos_RS,Fish,Pampa,-30.85017,-53.240583,SBV1302,fish_CamposSulinos_RS,156,19.25847517,234.66,186,100.72,49.72,3421.2,295,93,202,153,221.28,226.6,142.28,1426.79,135,95,11,401,319.89,367.89,394.96,10.37,48.33,16.91,113.76,26.02,1.43,22,Neossolos Litolicos Eutroficos,0.71,0.72,0.68,0.42,PAMPA
P0303,Fish_CamposSulinos_RS.xlsxP26,Fish_CamposSulinos_RS,Fish,Pampa,-30.823874,-53.194339,SBV1303,fish_CamposSulinos_RS,156,35.47056422,262.01,183.34,100,49,3446.19,292.34,91.34,201,150.34,219.18,225.18,139.43,1450.67,138.66,97,11,409.25,325.75,372.84,404.25,15.6,23.75,171.78,177.4,24.66,3.71,22,Neossolos Litolicos Eutroficos,0.85,0.54,0.36,0.15,PAMPA
P0304,Fish_CamposSulinos_RS.xlsxP27,Fish_CamposSulinos_RS,Fish,Pampa,-30.102347,-54.307873,SGA1401,fish_CamposSulinos_RS,156,81.59998429,110.95,191.43,110,51,3650.97,306.75,91.75,215,212.43,230.43,236.37,145.89,1572.75,147,117,6,410,365,378,392.25,9.35,13.98,20.76,32.53,17.12,2.96,21,Planossolos Haplicos Eutroficos,1,0.94,0.72,0.25,PAMPA
P0305,Fish_CamposSulinos_RS.xlsxP28,Fish_CamposSulinos_RS,Fish,Pampa,-30.092249,-54.305257,SGA1402,fish_CamposSulinos_RS,156,24.66090686,126.28,192,110,50.54,3634.36,307.46,92,215.46,213,231,236.1,146.95,1572,147,117,6,410,365,378,392,7.61,29.31,24,47.86,21.35,2.9,21,Planossolos Haplicos Eutroficos,1,0.92,0.75,0.39,PAMPA
P0306,Fish_CamposSulinos_RS.xlsxP29,Fish_CamposSulinos_RS,Fish,Pampa,-30.125123,-54.326217,SGA1403,fish_CamposSulinos_RS,156,43.00165034,126.1,191.95,110,50.05,3644.95,307.95,92,215.95,213,231,236,146,1560,146,116,6,408,362,375.05,388,10.39,36.84,13.57,47.68,13.86,2.73,21,Planossolos Haplicos Eutroficos,1,0.98,0.75,0.41,PAMPA
P0307,Fish_CamposSulinos_RS.xlsxP30,Fish_CamposSulinos_RS,Fish,Pampa,-28.857349,-52.454926,SLD1301,fish_CamposSulinos_RS,156,33.88305266,642.46,175.93,103,53,3062.21,278.93,86.93,192,211.97,138.93,211.97,135.93,1619.93,164,109.68,12,455,345.03,455,356.42,13.99,41.4,70.34,272.36,20.46,3.09,22,Argissolos Vermelhos Distroficos,0.74,0.48,0.26,0.16,ATLANTIC FOREST
P0308,Fish_CamposSulinos_RS.xlsxP31,Fish_CamposSulinos_RS,Fish,Pampa,-28.892401,-52.43469,SLD1302,fish_CamposSulinos_RS,156,52.34755231,661.4,173.78,102.11,53.11,3063.94,276.66,85.77,190.89,210.77,136.78,210.77,134.77,1621.01,165,109.33,11.89,457.23,344.89,457.23,356.89,13.96,69.07,88.54,291.3,30.64,3.96,22,Argissolos Vermelhos Distroficos,0.5,0.46,0.38,0.2,ATLANTIC FOREST
P0309,Fish_CamposSulinos_RS.xlsxP32,Fish_CamposSulinos_RS,Fish,Pampa,-28.869003,-52.47954,SLD1303,fish_CamposSulinos_RS,156,68.26708656,627.54,177.08,103,53,3099.44,280.36,87.81,192.54,213.81,140.08,213.81,137.08,1603.67,165,105.8,13,456.31,334.78,456.31,346.78,16.37,26.48,32.87,257.44,19.92,7.8,22,Argissolos Vermelhos Distroficos,0.1,0.05,0.06,0.07,ATLANTIC FOREST
P0310,Fish_CamposSulinos_RS.xlsxP33,Fish_CamposSulinos_RS,Fish,Pampa,-30.995075,-55.403403,SLI1401,fish_CamposSulinos_RS,156,99.2925436,176.76,183.67,120,49,4269.35,314.82,72.67,242.15,212.67,130.67,238.67,130.67,1387.94,150.33,85,17.12,410.33,278.06,353.33,278.06,10.69,25.86,42.24,44.99,42.78,4.37,21,Argissolos Vermelho-Amarelos Distroficos,0,0,0.04,0.05,PAMPA
P0311,Fish_CamposSulinos_RS.xlsxP34,Fish_CamposSulinos_RS,Fish,Pampa,-31.001799,-55.326052,SLI1402,fish_CamposSulinos_RS,156,100,179.39,184.24,119.26,49,4192.53,315.24,74.73,240.51,212.99,132.98,238.25,132.98,1373.85,147,87,16,404.75,282.04,347.01,282.04,13.72,30.73,32.91,47.62,15.26,0.73,21,Argissolos Vermelho-Amarelos Distroficos,0,0,0,0.01,PAMPA
P0312,Fish_CamposSulinos_RS.xlsxP35,Fish_CamposSulinos_RS,Fish,Pampa,-30.809709,-55.537394,SLI1403,fish_CamposSulinos_RS,156,73.86918767,177.88,184.8,120,49,4288.71,315.8,72.8,243,214.87,131.8,240.8,131.8,1470.05,143.8,101.13,12.2,409.2,327.56,363.27,327.56,11.77,15.47,26.96,50,40.08,3.71,21,Argissolos Vermelhos Distroficos,0.85,0.75,0.6,0.61,PAMPA
P0313,Fish_CamposSulinos_RS.xlsxP36,Fish_CamposSulinos_RS,Fish,Pampa,-30.846739,-55.409159,SLI1404,fish_CamposSulinos_RS,156,96.93274031,170.47,185.36,119,49,4257.84,316.95,75,241.95,214.97,133.36,240.95,133.36,1423.28,145.64,96.36,13.64,410.64,303.36,357.64,303.36,20.24,11.97,22.62,38.7,18.05,0.69,21,Argissolos Vermelhos Distroficos,0.49,0.32,0.29,0.3,PAMPA
P0314,Fish_CamposSulinos_RS.xlsxP37,Fish_CamposSulinos_RS,Fish,Pampa,-30.605547,-55.376349,SLI1405,fish_CamposSulinos_RS,156,33.12375199,179.99,185.7,118,49,4202.93,314.71,75.71,239,214.7,206.68,239.71,133.71,1460.65,144,100.29,11,411.29,331.88,360.29,336.59,11.4,24.76,32.38,57.94,23.23,2.63,21,Argissolos Vermelhos Distroficos,1,0.92,0.71,0.65,PAMPA
P0315,Fish_CamposSulinos_RS.xlsxP38,Fish_CamposSulinos_RS,Fish,Pampa,-29.357235,-54.414926,SPS1401,fish_CamposSulinos_RS,156,73.09730634,323.16,190.57,113.42,52,3665.64,304.99,87.22,217.77,160.57,228.57,235.99,144.26,1770.11,162.07,134.04,7,461.5,417.43,419.43,435.08,16.73,34.53,63.57,135.98,36.9,8.77,21,Neossolos Litolicos Eutroficos,0.19,0.21,0.28,0.41,ATLANTIC FOREST
P0316,Fish_CamposSulinos_RS.xlsxP39,Fish_CamposSulinos_RS,Fish,Pampa,-29.400262,-54.301585,SPS1402,fish_CamposSulinos_RS,156,37.72161736,340.78,190.97,112.94,51.94,3683.09,304.97,88.01,216.95,173.16,228.92,236.87,145.01,1757.77,160.99,134.94,6,455.98,416.88,418.88,433.98,12.94,91.3,92.86,235.69,25.38,10.11,21,Neossolos Litolicos Eutroficos,0.54,0.48,0.27,0.41,ATLANTIC FOREST
P0317,Fish_CamposSulinos_RS.xlsxP40,Fish_CamposSulinos_RS,Fish,Pampa,-29.293941,-54.034254,SPS1403,fish_CamposSulinos_RS,156,56.63818488,361.95,188.01,111,52,3568.24,300.01,87.72,212.29,170,225.01,233,143.71,1763.39,164,135,6,459.7,423.72,423.72,435.99,19.28,27.24,20.43,37.84,16.12,2.84,21,Neossolos Litolicos Eutroficos,0.86,0.48,0.3,0.2,PAMPA
P0318,Fish_CamposSulinos_RS.xlsxP41,Fish_CamposSulinos_RS,Fish,Pampa,-29.317881,-54.122079,SPS1404,fish_CamposSulinos_RS,156,35.71521389,405.26,186.33,112,52,3561.63,298.33,85.33,213,168.33,223.33,230.83,141.75,1776.02,165,136,6,463.17,424.58,424.58,440.26,14.88,111.46,112.04,176.98,35.02,5.4,21,Neossolos Litolicos Eutroficos,0.93,0.72,0.47,0.29,PAMPA
P0319,Fish_CamposSulinos_RS.xlsxP42,Fish_CamposSulinos_RS,Fish,Pampa,-29.350231,-54.210625,SPS1405,fish_CamposSulinos_RS,156,34.3152094,337.86,191.68,112,51.94,3598.44,303.86,89.62,214.24,173.62,228.68,236.68,146.62,1757.15,161.19,135.01,6,456.39,418.2,419.2,435.28,16.78,94.84,83.74,109.58,19.12,6.38,21,Neossolos Litolicos Eutroficos,0,0,0,0.07,ATLANTIC FOREST
P0320,Fish_CamposSulinos_RS.xlsxP43,Fish_CamposSulinos_RS,Fish,Pampa,-29.345179,-54.389707,SPS1406,fish_CamposSulinos_RS,156,19.69416074,337.89,187.93,113.79,51.79,3651.14,302.1,84.1,218,169.02,225.1,233.1,141.1,1784.43,164.45,135.45,7,464.9,420.62,422.07,439.56,12.03,21.8,95.58,150.71,26.05,6.96,21,Neossolos Litolicos Eutroficos,0.52,0.33,0.25,0.22,PAMPA
P0321,Fish_CamposSulinos_RS.xlsxP44,Fish_CamposSulinos_RS,Fish,Pampa,-31.297286,-52.809736,CGU1401,fish_CamposSulinos_RS,156,80.97295284,376.98,173,100,49,3533.55,282,79,203,135.72,208,217.02,127.71,1470.91,145,89.98,14,426.98,308.97,373.97,425.98,15.36,36.71,89.47,246.19,15.99,3.29,22,Neossolos Litolicos Eutroficos,0.83,0.7,0.49,0.34,PAMPA
P0322,Fish_CamposSulinos_RS.xlsxP45,Fish_CamposSulinos_RS,Fish,Pampa,-30.972135,-52.762276,CGU1402,fish_CamposSulinos_RS,156,27.53338916,202.13,184.53,97,48,3493.35,291.53,93.53,198,139.96,220,228.22,139.96,1453.66,142.47,92,13.47,420.41,315,371.25,420.41,21.83,18.9,117.68,121.17,26.53,1.93,22,Neossolos Litolicos Eutroficos,0.97,0.83,0.66,0.6,PAMPA
P0323,Fish_CamposSulinos_RS.xlsxP46,Fish_CamposSulinos_RS,Fish,Pampa,-31.152153,-52.803984,CGU1403,fish_CamposSulinos_RS,156,57.31195806,219.15,180.56,99,48.77,3532.38,289.46,87.23,202.23,138.17,215.46,225.23,135.46,1447.52,142.77,89.47,14,419.08,307.24,369.44,418.75,17.35,14.75,59.7,126.79,21.58,2.38,22,Neossolos Litolicos Eutroficos,0.48,0.33,0.35,0.54,PAMPA
P0324,Fish_CamposSulinos_RS.xlsxP47,Fish_CamposSulinos_RS,Fish,Pampa,-31.288816,-53.095001,CGU1404,fish_CamposSulinos_RS,156,71.47783671,326.17,176.23,103,50,3529.49,288.05,82.83,205.23,140.23,212.23,220.23,131.23,1417.61,137,87.77,13,408.77,301.02,361.02,403,13.75,55.63,38.42,150.81,26.98,4.57,22,Neossolos Litolicos Eutroficos,0.77,0.68,0.62,0.46,PAMPA
P0325,Fish_CamposSulinos_RS.xlsxP48,Fish_CamposSulinos_RS,Fish,Pampa,-32.256,-53.37567,JAGex1401,fish_CamposSulinos_RS,156,68.8748287,110.11,174.49,107,49,3744.69,294.19,76.22,217.97,137.22,213.2,221.43,128.22,1251.18,124.02,76.78,12,352.81,261.56,314.78,344.81,15.73,22.8,69.36,78.72,16.09,5.65,22,Argissolos Vermelho-Amarelos Distroficos,0.89,0.66,0.46,0.41,PAMPA
P0326,Fish_CamposSulinos_RS.xlsxP49,Fish_CamposSulinos_RS,Fish,Pampa,-32.32692,-53.25821,JAGex1402,fish_CamposSulinos_RS,156,54.13179039,66.02,177,105,48.12,3714.33,293.88,79,214.88,139,214,223,130,1243.36,123,77,12,349.24,261,315,342.24,7.69,22.13,17.61,64.01,12.75,2.48,22,Argissolos Vermelho-Amarelos Distroficos,0.84,0.75,0.57,0.51,PAMPA
P0327,Fish_CamposSulinos_RS.xlsxP50,Fish_CamposSulinos_RS,Fish,Pampa,-30.432216,-56.312233,QUA1401,fish_CamposSulinos_RS,156,93.43500294,129.04,193.33,122,48.3,4442.5,327.03,78.33,248.7,223.93,139.33,252.33,139.33,1345.63,134,85.67,13.33,379.67,280.33,346.67,280.33,14.87,16.8,8.68,28,16.7,1.37,21,Neossolos Litolicos Eutroficos,0.58,0.65,0.52,0.4,PAMPA
P0328,Fish_CamposSulinos_RS.xlsxP51,Fish_CamposSulinos_RS,Fish,Pampa,-30.423272,-56.266185,QUA1402,fish_CamposSulinos_RS,156,51.84944332,142.46,192.97,122,48,4428.36,326.97,77.97,249,222.97,138.97,251,138.97,1356.27,135,87.03,13,383,284.1,348.07,284.1,17.25,26.54,14.11,41.42,26.55,1.63,21,Neossolos Litolicos Eutroficos,1,0.99,0.86,0.53,PAMPA
P0329,Fish_CamposSulinos_RS.xlsxP52,Fish_CamposSulinos_RS,Fish,Pampa,-29.958534,-56.784917,QUA1403,fish_CamposSulinos_RS,156,59.73782507,86.27,198,118,48,4351.14,327.11,84,243.11,228,144,255.05,144,1221.82,144,61.05,22.05,386.05,213.94,320.05,213.94,21.67,0.8,14.82,19.56,23.6,1.14,21,Neossolos Litolicos Eutroficos,0.49,0.54,0.5,0.25,PAMPA
P0330,Fish_CamposSulinos_RS.xlsxP53,Fish_CamposSulinos_RS,Fish,Pampa,-31.299124,-53.935986,BAG1501,fish_CamposSulinos_RS,156,33.83121712,255.57,179.01,109,51,3462.17,295.01,84.17,210.84,152.78,216.94,216.94,134.94,1248.92,124,78.83,11,348.88,269.88,269.88,313.87,16.4,38.05,24.28,95.7,18.97,1.36,22,Chernossolos Ebanicos Orticos,0.53,0.7,0.58,0.33,PAMPA
P0331,Fish_CamposSulinos_RS.xlsxP54,Fish_CamposSulinos_RS,Fish,Pampa,-31.390222,-53.848249,BAG1502,fish_CamposSulinos_RS,156,53.7090906,213.07,180,109,51,3488.34,296.22,84.87,211.36,151.31,217.31,218.91,135.26,1227.77,122.13,75.13,12,344.96,261.27,316.13,310.96,12.81,8.33,47.92,77.75,11.51,2.87,22,Chernossolos Ebanicos Orticos,1,0.92,0.73,0.73,PAMPA
P0332,Fish_CamposSulinos_RS.xlsxP55,Fish_CamposSulinos_RS,Fish,Pampa,-31.250968,-54.352204,BAG1503,fish_CamposSulinos_RS,156,51.73437087,206.48,182,113,52,3586.37,302,85,217,196.02,217.56,221.12,136,1204.37,119.1,74,12,334.1,260.1,308.97,292.2,24.96,32.26,11.69,53.75,13.61,2.53,21,Argissolos Vermelho-Amarelos Distroficos,0.63,0.56,0.56,0.38,PAMPA
