ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_falcatus,Aequidens_gerciliae,Ancistrus_sp_1,Ancistrus_sp_2,Ancistrus_sp_3,Ancistrus_sp_4,Ancistrus_sp_5,Anostomus_ternetzi,Aphyocharax_sp.,Astyanax_aff_bimaculatus,Astyanax_cf_anterior,Astyanax_cf_maximus,Astyanax_sp,Boulengerella_maculata,Brachyhypopomus_cf_sullivani,Brycon_falcatus,Bryconops_cf_caudomaculatus,Bryconops_cf_giacopinii,Callichthys_callichthys,Caquetaia_spectabilis,Cetopsis_aff_sandrae,Cetopsorhamdia_sp_1,Characidium_aff_zebra,Characidium_sp_,Cichla_cf_mirianae,Corydoras_cf_bondi,Corydoras_cf_polystictus,Corydoras_sp,Creagrutus_ignotus,Creagrutus_petilus,Crenicichla_aff_acutirostris,Crenicichla_aff_isbrueckeri,Crenicichla_aff_semicincta,Crenicichla_cf_hemera,Curculionichthys_itaim,Cyphocharax_gangamon,Cyphocharax_notatus,Cyphocharax_spiluropsis,Eigenmannia_aff_trilineata,Elachocharax_pulcher,Erythrinus_erythrinus,Farlowella_smithi,Geophagus_cf_altifrons,Geophagus_mirabilis,Gymnorhamphichthys_rondoni,Gymnotus_cf_carapo,Hemigrammus_aff_ocellifer,Hemigrammus_cf_geisleri,Hemigrammus_cf_lunatus,Hemigrammus_cf_parana,Hemigrammus_cf_rodwayi,Hemigrammus_microstomus,Hemigrammus_silimoni,Hemigrammus_sp_1,Hemiodus_sp,Hemiodus_sterni,Heros_spurius,Hoplerythrinus_unitaeniatus,Hoplias_cf_malabaricus,Hyphessobrycon_aff_agulha,Hyphessobrycon_peugeoti,Hyphessobrycon_sp_2,Hyphessobrycon_vilmae,Hypostomus_sp_1,Hypostomus_sp_2,Hypostomus_sp_3,Hypostomus_sp_4,Hypostomus_sp_5,Hypostomus_sp_6,Imparfinis_sp_1,Imparfinis_sp_2,Imparfinis_sp_3,Inpaichthys_kerri,Ituglanis_cf_amazonicus,Ituglanis_sp,Jubiaba_cf_apenima,Jupiaba_acanthogaster,Jupiaba_anteroides,Jupiaba_meunieri,Jupiaba_pirana,Knodus_sp_1,Knodus_sp_2,Lasiancistrus_schomburgkii,Leporinus_cf_britski,Leporinus_cf_santosi,Leporinus_friderici,Leporinus_gomesi,Leporinus_reticulatus,Loricaria_sp,Mastiglanis_cf_asopos,Megalechis_thoracata,Melanocharacidium_cf_auroradiatum,Microglanis_aff_poecilus,Moenkhausia_aff_cotinho,Moenkhausia_cf_collettii,Moenkhausia_cf_pirauba,Moenkhausia_gr_lepidura,Moenkhausia_levidorsa,Moenkhausia_mikia,Moenkhausia_oligolepis,Moenkhausia_pankilopteryx,Myloplus_asterias,Myoglanis_sp,Nannorhamdia_stictonota,Oreochromis_niloticus,Pamphorichthys_cf_scalpidrens,Parauchenipterus_porosus,Parodon_cf_buckleyi,Parotocinclus_aripuanensis,Phenacogaster_retropinnus,Phenacorhamdia_sp,Pimelodella_cf_howesi,Poptella_compressa,Prochilodus_nigricans,Rhamdia_aff_quelen,Rineloricaria_lanceolata,Rineloricaria_sp,Serrapinnus_aff_notomelas,Serrapinnus_cf_microdon,Serrapinnus_cf_micropterus,Spatuloricaria_evansii,Stegophilus_panzeri,Steindachnerina_fasciata,Sternopygus_macrurus,Synbranchus_cf_madeirae,Tatia_cf_aulopygia,Tetragonopterus_argenteus,Tetragonopterus_chalceus,Thayeria_cf_obliqua,Utiaritichthys_longidorsalis
P3262,-9.869732,-58.327993,J17,Fish_Amazonia_MT,158,NA,0,3,1,1,3,0,0,0,0,0,0,1,0,0,3,0,0,10,0,0,1,0,2,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,56,0,0,1,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,0,0,6,0,0,0,7,0,0,0,0,0,2,0,16,0,1,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0
P3263,-9.823275,-58.256254,J18,Fish_Amazonia_MT,158,NA,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,0,1,1,0,0,3,7,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
P3264,-9.925013,-58.504436,J19,Fish_Amazonia_MT,158,NA,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,19,0,0,0,2,7,23,0,0,0,0,0,4,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,177,0,0,0,40,0,0,0,3,0,0,0,0,0,0,0,2,0,25,3,0,0,0,9,0,1,0,58,0,0,0,0,0,18,2,19,0,0,0,0,4,0,0,144,0,0,0,0,0,0,0,1,0,0
P3265,-9.910882,-58.421323,J20,Fish_Amazonia_MT,158,NA,0,0,7,0,0,0,0,0,0,0,0,7,0,0,1,1,0,5,0,0,0,0,6,0,0,0,2,13,0,0,0,0,0,0,14,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,22,0,0,0,174,0,0,0,1,0,0,0,0,0,0,0,3,0,0,11,0,0,0,26,0,0,0,58,0,0,0,0,0,0,4,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P3266,-9.850585,-58.265804,J21,Fish_Amazonia_MT,158,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,34,0,0,0,0,0,0,2,3,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
P3267,-9.863929,-58.278411,J22,Fish_Amazonia_MT,158,NA,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,54,15,0,0,0,0,1,0,0,0,0,1,0,0,0,13,38,1,0,0,0,0,0,0,2,10,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0
P3268,-9.882067,-58.567501,J23,Fish_Amazonia_MT,158,NA,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,5,0,0,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,172,0,0,0,98,0,0,0,11,0,0,0,0,0,0,0,3,0,0,14,0,0,0,9,0,0,0,80,0,0,0,0,0,0,3,9,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
P3269,-9.889195,-58.564891,J24,Fish_Amazonia_MT,158,NA,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,9,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,57,0,0,0,244,0,0,0,18,0,0,0,0,0,0,0,3,0,1,26,0,0,0,3,0,2,0,6,0,0,0,0,0,0,5,9,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
P3270,-9.902111,-58.565782,J25,Fish_Amazonia_MT,158,NA,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,7,3,0,2,0,0,0,2,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,127,0,0,0,7,2,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,35,0,0,0,0,0,1,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P3271,-9.805447,-58.392063,J26,Fish_Amazonia_MT,158,NA,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
P3272,-9.828744,-58.373124,J27,Fish_Amazonia_MT,158,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
P3273,-9.811818,-58.338984,J28,Fish_Amazonia_MT,158,NA,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,21,0,0,0,13,0,0,0,0,0,0,7,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
P3274,-10.019605,-58.470552,J29,Fish_Amazonia_MT,158,NA,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,19,0,0,0,1,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,131,0,0,0,3,0,0,0,0,0,0,0,0,0,0,51,2,0,0,13,0,0,0,4,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
P3275,-10.020634,-58.483209,J30,Fish_Amazonia_MT,158,NA,0,0,3,1,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,9,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,59,0,0,3,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,1,0,0,4,0,0,0,15,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
