ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,A_abramis,A_affinis,A_albifrons,A_anisiti,A_dentatus,A_aff_fasciatus,A_lineatus,A_marionae,Ancistrus_sp,A_pantaneiro,A_plagiozonatus,Astyanax_sp1,Astyanax_sp2,Astyanax_sp3,A_asuncionensis,Brachyhypopomus_spB,Brachyhypopomus_spC,B_exodon,B_hilarii,B_retrospina,B_stramineus,C_aeneus,C_areio,C_borellii,C_callichthyes,C_dimerus,C_gomesi,C_lepidota,C_meridionalis,C_vittata,Corydoras_spn,Characidium_sp,Characidium_sp1,Crenicichla_sp,C_aff_zebra,E_trilineata,F_cf_isbrueckeri,F_paraguayensis,G_britskii,G_inaquilabiatus,G_ternetzi,Gymnotus_sp,H_basilisko,H_boulengeri,H_cochliodon,H_eques,Hoplias_sp1,H_khimeara,H_littorale,H_aff_latirostris,H_luetkenii,H_piratatu,Hypostumus_sp,I_mirini,I_schubarti,I_stictonatus,Imparfinis_sp,Imparfinis_sp1,J_acanthogaster,L_cf_coximensis,L_frederici,L_lacustris,L_lucie,L_obtusidens,L_striatus,M_bonita,M_foresti,M_intermedia,M_oligolepis,M_sanctafilomenae,O_pintoi,O_pequira,O_paraguayensis,P_analis,P_australis,P_corruscans,P_gobioides,P_gracilis,P_hoehnei,P_kennydie,P_lineatus,P_oxyptera,P_mangurus,P_melanostoma,P_menezesi,P_nasus,P_paraguayensis,P_reticulata,P_taenioptera,P_tegatus,P_torenticula,R_lanceolata,R_parva,R_quelen,S_brasiliensis,S_brevipinna,S_calliura,S_macrurus,S_marginatus,S_marmoratus,S_nigrotaenia,S_notomelas,T_argenteus,T_neivai,X_macropus
P0917,-21.61962,-56.24234,Cachoeirinha,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0
P0918,-21.61529,-56.15826,Guardinha,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,12,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0919,-21.65833,-56.02726,Sta_Tereza,Fish_Cerrado_MS4,150,NA,0,0,0,8,0,0,0,0,2,0,0,0,0,0,4,0,0,55,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,7,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,9,0,0,0,0,0,0,0,0
P0920,-21.61569,-55.91513,Fundo,Fish_Cerrado_MS4,150,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,0,0,9,3,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P0921,-19.88618,-54.44405,São_Pedro,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0922,-19.77643,-54.51244,Barreirinho,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0
P0923,-19.744,-54.64326,Manga,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,2,0
P0924,-20.32718,-54.78675,Afl_Cirolo,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,3,0,15,0,0,0,0,0,1,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P0925,-19.92256,-54.89219,Rib_Pontinha,Fish_Cerrado_MS4,150,NA,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0926,-20.04571,-54.77832,Afl_Jatobá,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,17,0,0,0,0,0,0,0,0
