ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus brevipinnis,Ancistrus taunay,Aphyocharax anisitsi,Apistogramma commbrae,Astyanax dissensus,Astyanax eigenmanniorum,Astyanax fasciatus,Astyanax henseli,Astyanax lacustris,Astyanax laticeps,Astyanax procerus,Astyanax saguazu,Astyanax sp1,Astyanax sp2,Astyanax stenohalinos,Astyanax xiru,Australoheros facetus,Australoheros minuano,Australoheros scitulus,Brachyhypopomus bombilla,Bryconamericus iheringii,Bunocephalus doriae,Callichthys callichthys,Characidium occidentale,Characidium orientale,Characidium pterostictum,Characidium tenue,Characidium zebra,Charax stenopterus,Cheirodon ibicuhiensis,Cheirodon interruptus,Cichlasoma dimerus,Cnesterodon decemmaculatus,Corydoras paleatus,Corydoras sp,Corydoras undulatus,Crenicichla lepidota,Crenicichla punctata,Crenicichla scotti,Cyphocharax saladensis,Cyphocharax spilotus,Cyphocharax voga,Diapoma alegretensis,Diapoma speculiferum,Diapoma terofali,Diapoma tipiaia,Diapoma uruguayensis,Eigenmannia trilineata,Gymnogeophagus gymnogenys,Gymnogeophagus labiatus,Gymnogeophagus mekinos,Gymnogeophagus meridionalis,Gymnogeophagus pseudolabiatus,Gymnogeophagus rhabdotus,Gymnotus carapo,Hemiancistrus fuliginosus,Hemiancistrus punctulatus,Heptapterus mustelinus,Heptapterus sp,Heptapterus sympterygium,Heterocheirodon yatai,Hisonotus armatus,Hisonotus charrua,Hisonotus laevior,Hisonotus notopagos,Hisonotus ringueleti,Homodiaetus anisitsi,Hoplias malabaricus,Hyphessobrycon anisitsi,Hyphessobrycon luetkenii,Hyphessobrycon meridionalis,Hyphessobrycon togoi,Hypobrycon sp,Hypostomus aspilogaster,Hypostomus commersoni,Hypostomus uruguayensis,Imparfinis mishky,Ituglanis australis,Ituglanis sp,Microglanis cottoides,Mimagoniates inequalis,Moenkhausia dichroura,Odontostilbe pequira,Oligosarcus jacuiensis,Oligosarcus jenynsii,Oligosarcus oligolepis,Oligosarcus robustus,Oligosarcus sp,Otocinclus arnoldi,Otocinclus flexilis,Phalloceros caudimaculatus,Pimelodella australis,Pseudobunocephalus iheringii,Pseudocorynopoma doriae,Pseudohemiodon laticeps,Pseudoheptapterus sp,Rhamdella eriarcha,Rhamdella longiuscula,Rhamdia quelen,Rineloricaria baliola,Rineloricaria cadeae,Rineloricaria longicauda,Rineloricaria microlepidogaster,Rineloricaria sp,Rineloricaria stellata,Rineloricaria strigilata,Scleronema aff operculatum,Scleronema minutum,Scleronema operculatum,Scleronema sp1 ibicui,Scleronema sp2 quarai,Serrapinnus calliurus,Steindachnerina biornata,Steindachnerina brevipinna,Synbranchus marmoratus,Trichomycterus poikilos
P0313,-30.846739,-55.409159,SLI1404,fish_CamposSulinos_RS,156,96.93274031,0,0,1,0,26,1,0,0,19,1,0,0,0,0,0,0,0,0,0,2,85,0,1,11,0,11,0,0,0,0,1,0,0,17,0,6,3,0,0,1,0,2,63,0,0,0,0,0,0,0,11,0,0,0,1,0,0,21,0,0,0,0,11,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,0,0,0,0,0,1,0
P0314,-30.605547,-55.376349,SLI1405,fish_CamposSulinos_RS,156,33.12375199,0,4,0,0,27,0,1,0,19,5,0,0,0,0,0,0,0,2,0,0,143,0,0,7,0,86,0,0,1,0,1,0,0,0,0,0,1,0,11,0,0,0,58,0,0,0,0,0,0,0,16,0,0,0,0,0,0,74,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,26,0,0,15,0,0,0,3,0,0,4,0
P0315,-29.357235,-54.414926,SPS1401,fish_CamposSulinos_RS,156,73.09730634,0,31,0,0,0,0,0,0,0,8,0,2,0,39,0,12,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,55,28,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
P0316,-29.400262,-54.301585,SPS1402,fish_CamposSulinos_RS,156,37.72161736,0,0,0,0,0,0,0,9,2,15,6,0,0,5,0,0,0,0,0,0,123,0,0,29,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
P0317,-29.293941,-54.034254,SPS1403,fish_CamposSulinos_RS,156,56.63818488,0,12,0,0,0,20,0,0,0,3,8,0,0,28,0,0,0,1,0,0,162,0,0,1,0,48,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
P0318,-29.317881,-54.122079,SPS1404,fish_CamposSulinos_RS,156,35.71521389,0,62,0,0,0,0,0,0,0,11,0,0,0,0,0,17,0,6,0,0,199,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,74,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P0319,-29.350231,-54.210625,SPS1405,fish_CamposSulinos_RS,156,34.3152094,0,91,0,0,0,0,0,3,0,0,0,0,0,33,0,23,0,2,0,0,108,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
P0320,-29.345179,-54.389707,SPS1406,fish_CamposSulinos_RS,156,19.69416074,0,42,0,0,0,0,0,0,2,0,0,0,0,107,0,43,0,2,0,0,153,0,0,0,0,79,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
P0321,-31.297286,-52.809736,CGU1401,fish_CamposSulinos_RS,156,80.97295284,1,0,0,0,0,21,0,0,0,8,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
P0322,-30.972135,-52.762276,CGU1402,fish_CamposSulinos_RS,156,27.53338916,7,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
P0323,-31.152153,-52.803984,CGU1403,fish_CamposSulinos_RS,156,57.31195806,1,0,0,0,0,7,0,0,0,6,0,0,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
P0324,-31.288816,-53.095001,CGU1404,fish_CamposSulinos_RS,156,71.47783671,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
P0325,-32.256,-53.37567,JAGex1401,fish_CamposSulinos_RS,156,68.8748287,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,23,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,3,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,3,0,8,0,0,0,0,0,0,4,0,0,0,0,1,0,11,0,0,0,0,0,0,6,0
P0326,-32.32692,-53.25821,JAGex1402,fish_CamposSulinos_RS,156,54.13179039,1,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,18,0,0,0,4,0,4,0,0,0,4,31,3,17,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0
P0327,-30.432216,-56.312233,QUA1401,fish_CamposSulinos_RS,156,93.43500294,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,8,1,0,0,0,12,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,53,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,96,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,15,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,2,0
P0328,-30.423272,-56.266185,QUA1402,fish_CamposSulinos_RS,156,51.84944332,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,67,5,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,0,0,2,50,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0
P0329,-29.958534,-56.784917,QUA1403,fish_CamposSulinos_RS,156,59.73782507,0,55,4,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,53,0,5,0,0,2,0,0,0,15,0,0,0,1,0,0,0,0,20,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,115,0,0,0,0,1,0,0,0,0,0,11,17,4,24,0,0,0,0,47,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,7,0,1,16,0
P0330,-31.299124,-53.935986,BAG1501,fish_CamposSulinos_RS,156,33.83121712,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,217,0,0,3,0,89,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,116,0,0,0,7,0,0,7,0,0,0,75,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,12,0,0,28,0,0,0,0,1,0,1,0
P0331,-31.390222,-53.848249,BAG1502,fish_CamposSulinos_RS,156,53.7090906,0,1,0,0,0,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,5,0,0,0,0,0,17,0,0,4,0,2,0,0,7,0,0,1,0,18,0,0,0,8,0,0,3,0,0,0,6,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,1,0,2,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
P0332,-31.250968,-54.352204,BAG1503,fish_CamposSulinos_RS,156,51.73437087,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,6,0,2,0,0,1,0,0,78,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,82,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,25,0,0,66,0,5,0,0,0,0,0,0,0,0,0,0,26,0,2,60,0,0,0,0,0,0,0,0
