ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus brevipinnis,Ancistrus taunay,Aphyocharax anisitsi,Apistogramma commbrae,Astyanax dissensus,Astyanax eigenmanniorum,Astyanax fasciatus,Astyanax henseli,Astyanax lacustris,Astyanax laticeps,Astyanax procerus,Astyanax saguazu,Astyanax sp1,Astyanax sp2,Astyanax stenohalinos,Astyanax xiru,Australoheros facetus,Australoheros minuano,Australoheros scitulus,Brachyhypopomus bombilla,Bryconamericus iheringii,Bunocephalus doriae,Callichthys callichthys,Characidium occidentale,Characidium orientale,Characidium pterostictum,Characidium tenue,Characidium zebra,Charax stenopterus,Cheirodon ibicuhiensis,Cheirodon interruptus,Cichlasoma dimerus,Cnesterodon decemmaculatus,Corydoras paleatus,Corydoras sp,Corydoras undulatus,Crenicichla lepidota,Crenicichla punctata,Crenicichla scotti,Cyphocharax saladensis,Cyphocharax spilotus,Cyphocharax voga,Diapoma alegretensis,Diapoma speculiferum,Diapoma terofali,Diapoma tipiaia,Diapoma uruguayensis,Eigenmannia trilineata,Gymnogeophagus gymnogenys,Gymnogeophagus labiatus,Gymnogeophagus mekinos,Gymnogeophagus meridionalis,Gymnogeophagus pseudolabiatus,Gymnogeophagus rhabdotus,Gymnotus carapo,Hemiancistrus fuliginosus,Hemiancistrus punctulatus,Heptapterus mustelinus,Heptapterus sp,Heptapterus sympterygium,Heterocheirodon yatai,Hisonotus armatus,Hisonotus charrua,Hisonotus laevior,Hisonotus notopagos,Hisonotus ringueleti,Homodiaetus anisitsi,Hoplias malabaricus,Hyphessobrycon anisitsi,Hyphessobrycon luetkenii,Hyphessobrycon meridionalis,Hyphessobrycon togoi,Hypobrycon sp,Hypostomus aspilogaster,Hypostomus commersoni,Hypostomus uruguayensis,Imparfinis mishky,Ituglanis australis,Ituglanis sp,Microglanis cottoides,Mimagoniates inequalis,Moenkhausia dichroura,Odontostilbe pequira,Oligosarcus jacuiensis,Oligosarcus jenynsii,Oligosarcus oligolepis,Oligosarcus robustus,Oligosarcus sp,Otocinclus arnoldi,Otocinclus flexilis,Phalloceros caudimaculatus,Pimelodella australis,Pseudobunocephalus iheringii,Pseudocorynopoma doriae,Pseudohemiodon laticeps,Pseudoheptapterus sp,Rhamdella eriarcha,Rhamdella longiuscula,Rhamdia quelen,Rineloricaria baliola,Rineloricaria cadeae,Rineloricaria longicauda,Rineloricaria microlepidogaster,Rineloricaria sp,Rineloricaria stellata,Rineloricaria strigilata,Scleronema aff operculatum,Scleronema minutum,Scleronema operculatum,Scleronema sp1 ibicui,Scleronema sp2 quarai,Serrapinnus calliurus,Steindachnerina biornata,Steindachnerina brevipinna,Synbranchus marmoratus,Trichomycterus poikilos
P0288,-30.913058,-54.939024,LAVEX1402,fish_CamposSulinos_RS,156,99.99420401,0,0,0,0,0,0,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,5,1,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P0289,-30.304496,-55.92623,QUA1301,fish_CamposSulinos_RS,156,87.41065305,0,16,0,0,0,0,0,5,1,0,0,0,3,0,0,0,0,0,7,1,15,2,0,5,0,21,14,15,0,0,0,0,1,0,0,0,9,0,2,0,2,0,45,0,4,0,0,1,0,0,1,0,0,1,0,19,0,175,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,48,0,0,0,0,0,0,0,6,0,5,0
P0290,-30.292338,-55.966083,QUA1302,fish_CamposSulinos_RS,156,50.96802145,0,77,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,53,0,0,0,0,0,0,0,3,0,0,8,0,6,0,400,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,2,0
P0291,-30.28349,-55.97125,QUA1303,fish_CamposSulinos_RS,156,56.23070768,0,2,0,0,0,8,0,4,2,2,1,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,1,0,0,49,0,1,0,0,0,7,0,10,0,0,0,93,0,0,0,0,0,0,0,3,0,0,26,0,0,0,145,0,0,1,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0
P0292,-28.544939,-55.480953,SAM1301,fish_CamposSulinos_RS,156,36.37272011,0,2,0,1,0,0,0,41,8,0,0,0,0,0,0,0,9,0,3,0,9,0,0,9,3,43,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,10,0,0,0,0,0,52,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,30,0,36,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P0293,-28.552564,-55.437127,SAM1302,fish_CamposSulinos_RS,156,33.06342538,0,0,0,0,8,0,0,71,2,0,0,0,0,0,0,0,0,0,0,1,9,0,0,4,0,1,0,4,2,0,33,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,31,28,1,52,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0
P0294,-28.51503,-55.469611,SAM1303,fish_CamposSulinos_RS,156,66.04019292,0,18,0,0,0,12,0,33,8,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,28,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P0295,-29.386775,-54.777171,SAT1401,fish_CamposSulinos_RS,156,58.11174113,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
P0296,-29.219682,-54.753204,SAT1402,fish_CamposSulinos_RS,156,44.78814538,0,8,0,0,0,0,0,10,0,28,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
P0297,-29.06387,-55.086094,SAT1403,fish_CamposSulinos_RS,156,54.16144067,0,40,0,0,0,0,0,2,0,24,0,0,0,0,0,10,0,0,0,0,70,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
