ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Apareiodon_piracicabae,Aphyocharax_anisitsi,Apistogramma_combrae,Astyanax_sp,Astyanax_lacustris,Astyanax_fasciatus,Bryconamericus_stramineus,Bryconamericus_turiuba,Callichthys_callicchthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_zebra,Cichlasoma_paranaense,Corydoras_aeneus,Clarias_gariepinus,Crenicichla_britskii,Cyphocarax_sp,Eigenmannia_trilineata,Erythrinus_erythrinus,Geophagus_brasilensis,Gymnotus_inaquilabiatus,Hemigrammus_marginatus,Hisonotus_insperatus,Othothiropsis_marapoama,Othothiropsis_polyodon,Hoplerythrinus_unitaeniatus,Hoplias_sp1,Hoplias_sp2,Hoplias_sp3,Hoplosternum_littorale,Hyphessobrycon_anisitsi,Hyphessobrycon_eques,Hypostomus_albopunctatus,Hypostomus_ancistroides,Hypostomus_iheringii,Hypostomus_sp,Hypostomus_strigaticeps,Imparfinis_borodini,Imparfinis_schubarti,Knodus_moenkhausii,Laetocaria_araguaia,Leporinus_amblyrhynchus,Leporinus_friderici,Leporinus_striatus,Moenkhausia_bonita,Moenkhausia_foresti,Moenkhausia_intermedia,Odontostilbe_sp,Oligosarcus_pintoi,Parauchenipterus_galeatus,Parodon_nasus,Phalloceros_harpagos,Phallotorynus_pankallus,Phenacorhandia_tenebrosa,Piabina_argentea,Pimelodella_gracilis,Pimelodus_maculatus,Potamotrygon_falkneri,Prochilodus_lineatus,Psellogrammus_kennedyi,Pseudoplatystoma_corruscans,Pyrrhulina_australis,Rhamdia_quelen,Rineloricaria_latirostris,Rineloricaria_Lanceolata,Melanorivulus_apiamici,Salminus_brasiliensis,Salminus_hilarii,Schizodon_nasutus,Scoloplax_empousa,Serrapinnus_notomelas,Serrapinus_sp,Sorubim_lima,Steindachinerina_brevipina,Steindachnerina_insculpta,Sternopygus_macrurus,Synbranchus_marmoratus,Tilapia_rendalli
P0557,-23.26721,-53.98981,AM12,Fish_Cerrado_MS,150,NA,0,0,0,75,0,0,0,0,0,0,0,0,3,0,0,6,0,12,0,0,0,98,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
P0558,-23.34117,-53.86389,AM13,Fish_Cerrado_MS,150,NA,0,3,58,0,0,0,0,0,0,0,0,6,3,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,1,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,23,0,2,1,0,0,0,0
P0559,-23.21651,-54.02581,AM14,Fish_Cerrado_MS,150,NA,0,0,0,0,0,5,6,0,0,0,0,0,3,1,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
P0560,-23.17726,-54.44555,AM15,Fish_Cerrado_MS,150,NA,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0561,-22.84408,-54.82436,AM16,Fish_Cerrado_MS,150,NA,0,0,0,0,0,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0562,-22.80231,-54.54893,AM17,Fish_Cerrado_MS,150,NA,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0
P0563,-23.0619,-54.73161,AM18,Fish_Cerrado_MS,150,NA,0,0,0,0,2,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P0564,-23.0429,-54.51001,AM19,Fish_Cerrado_MS,150,NA,0,0,0,0,89,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
P0565,-22.75309,-55.60146,AM20,Fish_Cerrado_MS,150,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0566,-22.55908,-55.47057,AM21,Fish_Cerrado_MS,150,NA,0,0,0,17,0,35,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
