ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acanthodoras_cataphractus,Acestrorhynchus_falcatus,Aequidens_tetramerus,Amazonspinther_dalmata,Ancistrus_lithurgicus,Anostomus_ternetzi,Apistogramma_cf_resticulosa,Apteronotus_albifrons,Astyanax_cf_bimaculatus,Astyanax_maculisquamis,Astyanax_cf_maximus,Bario_steindachneri,Batrochoglanis_cf_raninus,Batrochoglanis_villosus,Brachychalcinus_copei,Brachyhypopomus_sp1,Brachyhypopomus_sp2,Brachyhypopomus_sp3,Bryconops_caudomaculatus,Bryconella_pallidifrons,Bryconops_piracolina,Carnegiella_strigata,Centromochlus_cf_perugiae,Cetopsorhamdia_sp1,Cetopsorhamdia_sp2,Cetopsorhamdia_sp3,Characidium_aff_gomesi,Characidium_sp,Characidium_aff_ zebra,Cheirodon_troemneri ,Cichlasoma_amazonarum,Corydoras_acutus,Corydoras_aff_ambiacus,Corydoras_cf_bondi,Corydoras_cf_bondi,Corydoras_cf_melanistius,Corydoras_stenocephalus,Corydoras_aff_ambiacus,Crenicichla_johanna,Creagrutus_petilus,Crenicichla_santosi,Curimatopsis_macrolepis,Cyphocharax_plumbeus,Cyphocharax_spiluropsis,Denticetopsis_seducta,Eigenmannia_trilineata,Elachocharax_pulcher,Erythrinus_erythrinus,Farlowella_cf_oxyrryncha,Geophagus_megasema,Gymnotus_aff_arapaima,Gymnotus_carapo,Gymnotus_coropinae,Gymnorhamphichthys_petiti,Helogenes_gouldingi,Hemigrammus_bellotti,Hemigrammus_melanochrous,Hemigrammus_neptunus,Hemigrammus_aff_ocellifer,Hemigrammus_sp,Hemiodus_unimaculatus,Hoplosternum_littorale,Hoplias_malabaricus,Hoplerythrinus_unitaeniatus,Hyphessobrycon_agulha,Hyphessobrycon_bentosi,Hyphessobrycon_bentosi,Hyphessobrycon_aff_heterorhabdus,Hypopygus_lepturus,Hypostomus_pyrineusi,Hypostomus_sp,Imparfinis_cf_hasemani,Imparfinis_stictonotus,Ituglanis_amazonicus,Jupiaba_citrina,Jupiaba_poranga,Jupiaba_zonata,Knodus_heteresthes,Knodus_cf_smithi,Lasiancistrus_schomburgkii,Leporinus_friderici,Loricaria_cataphracta,Megalechis_picta,Melanocharacidium_dispilomma,Melanocharacidium_pectorale,Microschemobrycon_sp,Microglanis_poecilus,Microcharacidium_sp,Microcharacidium_aff_weitzmani,Miuroglanis_platycephalus,Moenkhausia_cf_bonita,Moenkhausia_collettii,Moenkhausia_cotinho,Moenkhausia_aff_gracilima,Moenkhausia_grandisquamis,Moenkhausia_mikia ,Moenkhausia_oligolepis,Moenkhausia_pankilopteryx,Myleus_sp,Nannostomus_trifasciatus,Odontostilbe_fugitiva,Otocinclus_hoppei,Parotocinclus_aff_aripuanensis,Parodon_nasus,Parauchenipterus_porosus,Paracanthopoma_sp,Phenacorhamdia_cf_boliviana,Phenacogaster_retropinnus,Phenacorhamdia_sp,Pimelodella_cf_howesi ,Pimelodella_sp,Platyurosternarchus_macrostomus,Potamorrhaphis_guianensis,Prochilodus_nigricans,Pseudobunocephalus_amazonicus,Pyrrhulina_cf_australis,Pyrrhulina_cf_brevis,Pyrrhulina_cf_zigzag,Rhamdia_quelen,Rineloricaria_heteroptera,Rineloricaria_sp,Rivulus_sp,Satanoperca_jurupari ,Serrapinnus_microdon,Serrapinus_aff_notomelas,Serrasalmus_rhombeus,Spatuloricaria_evansii,Aphanotorulus_emarginatus,Steindachnerina_cf_dobula,Steindachnerina_fasciata,Steindachnerina_guentheri,Sternopygus_macrurus,Tatia_aulopygia,Tetragonopterus_argenteus,Tilapia_rendalli,Triportheus_angulatus,Tyttocharax_madeirae,Potamotrygon_orbignyi,Synbranchus_marmoratus
P0213,-11.895923,-61.67323,RO11,Fish_Amazonia_RO,170,56.48224606,0,0,15,0,73,0,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,39,0,2,0,0,0,0,0,0,0,0,62,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0,3,108,0,0,0,0,0,0,0,0,0,0,0,63,0,5,0,0,0,2,23,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,216,89,0,2,6,0,0,0,1,0,0,0,0,0,0,0
P0214,-11.905862,-61.714808,RO12,Fish_Amazonia_RO,170,70.27183343,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,150,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
P0215,-11.030736,-61.911585,RO13,Fish_Amazonia_RO,170,58.37642193,0,0,5,0,43,0,0,1,0,0,0,0,0,0,13,0,0,0,61,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,1,45,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,2,12,1,0,1,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0216,-9.405916,-62.3346,RO14,Fish_Amazonia_RO,170,37.22044728,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0,0,0,9,0,0,0,0,13,1,0,188,0,1,0,0,0,0,0,23,0,0,0,0,0,0,4,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,1,12,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
P0217,-9.363185,-62.17274,RO15,Fish_Amazonia_RO,170,89.46684005,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,42,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,1,0,10,0,0,0,0,7,0,8,126,0,0,0,0,0,0,0,46,23,0,0,2,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,8,0,0,1,1,0,145,0,0,2,0,1,0,0,0,0,10,14,0,0,1,0,1,2,6,0,0,0,0,4,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0
P0218,-9.421498,-61.821973,RO16,Fish_Amazonia_RO,170,14.71264367,0,0,0,7,0,0,8,0,0,0,0,0,0,0,4,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,302,0,0,0,0,0,0,0,29,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,1,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0219,-9.611701,-62.202572,RO17,Fish_Amazonia_RO,170,81.94444444,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,7,0,0,0,2,11,1,0,364,0,0,0,0,0,0,0,38,51,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,78,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,5,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0220,-9.616026,-62.268924,RO18,Fish_Amazonia_RO,170,100,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,4,0,0,1,1,0,0,4,3,2,0,61,0,0,0,0,0,0,0,160,21,0,0,13,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0221,-9.624466,-62.336993,RO19,Fish_Amazonia_RO,170,87.11340206,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,6,1,0,0,0,0,2,0,0,3,0,0,0,3,6,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,14,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P0222,-9.668203,-62.291343,RO20,Fish_Amazonia_RO,170,56.0727662,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,51,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,16,1,0,0,2,0,0,1,0,0,0,0,0,0,7,1,0,0,0,5,0,0,0,1,0,1,3,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1,0,0,208,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,22,4,0,0,0,0,0,0,2,0,0,0,0,0,26,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
