ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus_cf_aguaboensis,Ancistrus_sp_1,Ancistrus_sp_2,Apareiodon_machrisi,Apteronotus_camposdapazi,Aspidoras_albater,Astyanax_elachlepis,Astyanax_cf_goyanensis,Astyanax_aff_Scabripinnis,Astyanax_novae,Bryconops_cf_caudomaculatus,Bryconops_melanurus,Cetopsis_arcana,Cetopsorhamdia_cf_iheringi,Cetopsis_cf_plumbea,Cetopsorhamdia_molinae,Cetopsorhamdia_sp,Characidium_aff_zebra,Cichlasoma_araguaiense,Corumbataia_tocantinensis,Corumbataia_sp,Creagrutus_britskii,Creagrutus_cf_strisignum,Crenicichla_labrina,Ctenocheirodon_pristis,Eigenmannia_sp,Farlowella_cf_oxyrhyncha,Gymnotus_aff_carapo,Harttia_punctata,Hemiancistrus_cerrado,Hemigrammus_ataktos,Hoplias_malabaricus,Hypostomus_ericae,Hypostomus_sp1,Hypostomus_sp2,Imparfinis_cf_borodini,Imparfinis_cf_schubarti,Ituglanis_sp,Jupiaba_apenina,Jupiaba_sp,Knodus_cf_chapadae,Knodus_sp,Leporinus_friderici,Leporinus_sp,Loricaria_sp,Moenkhausia_aurantia,Moenkhausia_sp,Moenkhausia_oligolepis,Moenkhausia_pankilopteryx,Nannoplecostomus_eleonorae,Phenacogaster_sp,Phenacorhamdia_sp,Pimelodella_sp,Pseudopimelodus_pulcher,Retroculus_lapidifer,Rhamdia_aff_quelen,Rhamdia_cf_itacaiunas,Rineloricaria_lanceolata,Rineloricaria_osvaldoi,Serrapinnus_tocantincensis,Spatuloricaria_cf_evansii,Steindachnerina_amazonica,Sternopygus_macrurus,Synbranchus_cf_marmoratus,Trichomycterus_sp
P0346,-13.647778,-48.791389,P15,fish_Cerrado_GO,160,7.212455104,0,0,13,5,0,2,13,0,0,22,0,7,0,0,0,0,0,23,9,0,0,68,0,3,0,0,5,3,2,0,30,5,0,5,8,0,0,0,0,0,194,0,0,0,9,0,0,6,0,0,2,3,0,0,0,3,0,4,0,0,5,6,0,0,0
P0347,-13.617583,-48.761306,P16,fish_Cerrado_GO,160,36.23099321,0,0,14,1,3,0,23,0,0,20,0,1,0,0,0,0,0,15,0,0,0,20,0,1,0,0,0,3,0,0,19,4,0,4,1,0,0,0,0,0,67,0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0,0,0
P0348,-13.604639,-48.737722,P17,fish_Cerrado_GO,160,50.02926097,0,0,3,0,0,0,1,0,0,25,0,3,0,0,0,0,0,9,0,0,0,34,0,1,0,0,0,2,0,0,21,2,0,0,2,0,0,0,0,0,198,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P0349,-13.480833,-48.620722,P18,fish_Cerrado_GO,160,0,0,3,5,8,1,0,0,0,0,6,0,0,0,0,0,5,0,58,0,0,0,33,0,1,0,0,0,1,38,0,4,1,0,33,5,2,0,0,2,0,159,0,0,0,3,0,0,6,0,0,0,6,0,0,0,0,0,1,0,0,5,2,1,0,0
P0350,-13.481944,-48.650611,P19,fish_Cerrado_GO,160,89.47696516,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,26,12,0,0,3,0,5,0,0,0,0,0,0,93,6,0,1,0,0,0,0,0,0,187,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
P0351,-13.558722,-48.674194,P20,fish_Cerrado_GO,160,25.50822537,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,0,9,0,0,0,7,14,0,15,6,0,12,6,0,1,0,0,0,109,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0
P0352,-13.546417,-48.681722,P21,fish_Cerrado_GO,160,65.07151847,0,0,10,1,3,0,7,0,0,0,0,0,0,0,0,0,0,27,0,0,0,16,0,1,0,2,0,3,6,0,11,0,0,22,3,0,2,0,0,0,94,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,1,0,4,2,0
P0353,-13.511944,-48.651667,P22,fish_Cerrado_GO,160,47.21546888,0,0,26,1,0,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,0,23,0,0,0,0,0,1,1,0,6,3,0,8,5,0,0,0,0,0,145,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,4,0
P0354,-13.522333,-48.646861,P23,fish_Cerrado_GO,160,17.16419107,0,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,84,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0355,-13.417194,-48.607028,P24,fish_Cerrado_GO,160,38.12608667,0,0,21,3,0,8,11,0,0,7,0,1,0,0,0,0,0,81,0,0,0,3,0,6,0,0,0,1,2,0,17,0,0,14,2,0,1,0,3,0,130,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0
