ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_lacustris,Apareiodon_piracicabae,Aspidoras_fuscoguttatus,Astyanax_altiparanae,Astyanax_fasciatus,Astyanax_paranensis,Astyanax_bockmanni,Bryconamericus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagossantense,Characidium_zebra,Cichlasoma_paranaense ,Corydoras_aeneus,Crenicichla_britskii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_virescens,Erythrinus_erythrinus,Geophagus_brasiliensis,Gymnotus_sylvius,Gymnotus_inaequilabiatus,Hemigrammus_marginatus,Hisonotus_francirochai,Hoplosternum_littorale,Hoplias_malabaricus,Hypostomus_ancistroides,Hyphessobrycon_anisitsi ,Hyphessobrycon_eques,Hypostomus_nigromaculatus,Imparfinis_schubarti,Knodus_moenkhausii,Laetacara_aff_araguaiae,Leporinus_friderici,Leporinus_lacustris ,Leporinus_paranensis,Lepthoplosternum_pectorale,Leporinus_striatus,Moenkhausia_sanctaefilomenae,Oligosarcus_pintoi,Oreochromis_niloticus,Pamphorichthys_hollandi,Parodon_nasus,Phalloceros_harpagos,Phenacorhamdia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae ,Planaltina_britskii ,Poecilia_reticulata ,Prochilodus_lineatus ,Pseudopimelodus_pulcher,Pyrrhulina_australis ,Rhamdia_quelen,Rivulus_pictus,Satanoperca_pappaterra,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_insculpta,Synbranchus_marmoratus,Tilapia_rendalli 
P1200,-20.458917,-50.242583,015IBISJD,Fish_MAtlantica_SP,170,100,0,0,17,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P1201,-20.444222,-50.263278,016IBISJD,Fish_MAtlantica_SP,170,91.93,0,0,1,80,9,0,0,0,0,2,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,56,0,9,0,0,0,0,0,0,0,5,0,0,9,0,0,33,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0
P1202,-20.329417,-50.284417,017IBISJD,Fish_MAtlantica_SP,170,88.91,0,0,7,22,21,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
P1203,-20.314361,-50.384667,018IBISJD,Fish_MAtlantica_SP,170,97.7,0,0,0,60,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
P1204,-20.376389,-50.450917,019IBISJD,Fish_MAtlantica_SP,170,100,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1205,-20.462889,-50.472389,020IBISJD,Fish_MAtlantica_SP,170,92.68,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0
P1206,-20.528222,-50.320833,021IBISJD,Fish_MAtlantica_SP,170,90.08,0,0,8,12,23,0,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,8
P1207,-20.602472,-50.422222,022IBISJD,Fish_MAtlantica_SP,170,93.38,0,0,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
P1208,-20.628639,-50.371611,023IBISJD,Fish_MAtlantica_SP,170,88.03,0,0,35,92,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,94,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,17,0,0,0,0,0,1,0
P1209,-20.60575,-50.568056,024IBISJD,Fish_MAtlantica_SP,170,91.45,0,0,18,81,0,0,0,0,0,0,0,0,0,5,15,11,0,2,0,0,0,13,0,14,0,0,9,7,0,0,0,2,103,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,28,0,0,0,0,0
