ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_lacustris,Apareiodon_piracicabae,Aspidoras_fuscoguttatus,Astyanax_altiparanae,Astyanax_fasciatus,Astyanax_paranensis,Astyanax_bockmanni,Bryconamericus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagossantense,Characidium_zebra,Cichlasoma_paranaense ,Corydoras_aeneus,Crenicichla_britskii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_virescens,Erythrinus_erythrinus,Geophagus_brasiliensis,Gymnotus_sylvius,Gymnotus_inaequilabiatus,Hemigrammus_marginatus,Hisonotus_francirochai,Hoplosternum_littorale,Hoplias_malabaricus,Hypostomus_ancistroides,Hyphessobrycon_anisitsi ,Hyphessobrycon_eques,Hypostomus_nigromaculatus,Imparfinis_schubarti,Knodus_moenkhausii,Laetacara_aff_araguaiae,Leporinus_friderici,Leporinus_lacustris ,Leporinus_paranensis,Lepthoplosternum_pectorale,Leporinus_striatus,Moenkhausia_sanctaefilomenae,Oligosarcus_pintoi,Oreochromis_niloticus,Pamphorichthys_hollandi,Parodon_nasus,Phalloceros_harpagos,Phenacorhamdia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae ,Planaltina_britskii ,Poecilia_reticulata ,Prochilodus_lineatus ,Pseudopimelodus_pulcher,Pyrrhulina_australis ,Rhamdia_quelen,Rivulus_pictus,Satanoperca_pappaterra,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_insculpta,Synbranchus_marmoratus,Tilapia_rendalli 
P1244,-20.109972,-49.823472,059TUG,Fish_MAtlantica_SP,170,92.79,0,2,3,420,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,6,4,0,3,4,0,0,0,7,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,16,0,0,1,0,1,0,0
P1245,-20.297389,-49.816194,060TUG,Fish_MAtlantica_SP,170,90.17,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0
P1246,-20.36925,-49.832861,061TUG,Fish_MAtlantica_SP,170,71.74,0,0,9,39,62,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,2,0,0,10,0,1,4,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,45,0,0,74,0,0,0,4,0,0,0,37,0,0,0,0,0
P1247,-20.426222,-49.813778,062TUG,Fish_MAtlantica_SP,170,85.45,0,0,1,4,0,0,0,0,0,3,1,0,10,0,3,3,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,2,1,0,0,0,4,0,0,0,1,0,0,0,0,0
P1248,-20.190278,-49.309667,063TUG,Fish_MAtlantica_SP,170,88.95,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
P1249,-20.195806,-49.416111,064TUG,Fish_MAtlantica_SP,170,90.75,0,0,8,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1250,-20.094889,-49.672861,065TUG,Fish_MAtlantica_SP,170,100,0,0,35,47,0,0,0,0,0,0,0,0,36,14,0,0,0,0,0,0,0,1,0,0,0,0,2,8,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1251,-20.151861,-49.556694,066TUG,Fish_MAtlantica_SP,170,100,0,0,7,38,57,0,0,0,0,3,0,0,6,1,0,1,0,0,2,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
P1252,-20.207194,-49.546917,067TUG,Fish_MAtlantica_SP,170,100,0,0,1,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,12,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
P1253,-20.402361,-49.6855,068TUG,Fish_MAtlantica_SP,170,91.05,1,0,5,17,0,0,0,0,0,0,0,0,23,2,0,5,1,0,1,0,3,19,0,25,0,0,1,15,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,19,0,0,0,0,0,0,1,0,0,32,21,0,0,16,0,0
P1254,-20.491639,-49.328139,069TUG,Fish_MAtlantica_SP,170,100,0,0,3,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1255,-20.423389,-49.616056,070TUG,Fish_MAtlantica_SP,170,98.02,0,0,7,24,17,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,1,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
P1256,-20.286861,-49.531667,071TUG,Fish_MAtlantica_SP,170,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1257,-20.325389,-49.399944,072TUG,Fish_MAtlantica_SP,170,94.16,0,0,11,5,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0
P1258,-20.384667,-49.400444,073TUG,Fish_MAtlantica_SP,170,91.57,0,0,4,38,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,1,0,19,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0
P1259,-20.652306,-49.556139,074TUG,Fish_MAtlantica_SP,170,78.86,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,1,0,0,0,0,0,0,0,0,0
P1260,-20.631528,-49.686167,075TUG,Fish_MAtlantica_SP,170,84.68,0,0,21,47,3,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,30,0,0,0,0,0
P1261,-20.702028,-49.406083,076TUG,Fish_MAtlantica_SP,170,94.03,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
P1262,-20.584917,-49.450139,077TUG,Fish_MAtlantica_SP,170,98.15,0,0,1,3,0,0,0,0,0,0,0,7,0,3,0,2,0,1,0,1,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,31,0,0,0,0,0
P1263,-20.689944,-49.451139,078TUG,Fish_MAtlantica_SP,170,77.89,0,0,0,0,18,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
P1264,-20.720167,-49.223333,079TUG,Fish_MAtlantica_SP,170,86.88,0,0,19,6,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
P1265,-20.694639,-49.08175,080TUG,Fish_MAtlantica_SP,170,79.95,0,0,90,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,12,31,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,4,0,0,0,2,0
P1266,-20.676944,-49.038194,081TUG,Fish_MAtlantica_SP,170,82.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
P1267,-20.905444,-49.34175,082TUG,Fish_MAtlantica_SP,170,86.44,0,0,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,0,77,0,0,0,2,0,0,0,0,0,0,0,0,0
P1268,-20.812111,-49.465083,083TUG,Fish_MAtlantica_SP,170,98.04,0,0,69,69,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,26,6,0,0,5,0,1,28,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,33,0,0,27,0,0,0,9,0,0,0,0,0,0,0,0,0
P1269,-20.785,-49.457778,084TUG,Fish_MAtlantica_SP,170,91.16,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,17,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,19,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
P1270,-20.986444,-49.190917,085TUG,Fish_MAtlantica_SP,170,99.36,0,0,9,15,5,8,0,0,0,0,0,0,0,0,2,0,0,8,0,0,20,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
P1271,-20.852556,-49.2345,086TUG,Fish_MAtlantica_SP,170,99.44,0,0,19,7,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,12,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0,28,0,0,0,0,0,0,0,11,0,0,0,0,0
P1272,-20.703639,-48.942222,087TUG,Fish_MAtlantica_SP,170,100,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1273,-20.939167,-48.830167,088TUG,Fish_MAtlantica_SP,170,100,0,0,23,62,16,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,9,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,21,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
P1274,-20.772556,-48.808611,089TUG,Fish_MAtlantica_SP,170,91.78,0,0,4,1,2,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,18,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,350,0,0,0,8,0,0,0,0,0,0,0,2,0
P1275,-20.938167,-48.677583,090TUG,Fish_MAtlantica_SP,170,94.57,0,0,14,7,0,0,0,0,7,0,0,0,0,1,2,0,0,0,0,0,1,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1276,-21.051944,-48.800278,091TUG,Fish_MAtlantica_SP,170,83.32,0,0,11,7,8,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,62,0,0,0,2,0,0,0,0,0,0,0,0,0
P1277,-21.212083,-48.951583,092TUG,Fish_MAtlantica_SP,170,97.15,0,0,17,2,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,31,5,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,26,0,34,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
P1278,-21.214583,-48.742806,093TUG,Fish_MAtlantica_SP,170,65.37,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P1279,-21.118056,-48.504444,094TUG,Fish_MAtlantica_SP,170,81.64,0,0,9,21,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,49,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
P1280,-21.166556,-48.604111,095TUG,Fish_MAtlantica_SP,170,93.9,0,0,7,87,3,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,5,13,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,377,0,0,0,7,0,0,0,1,0,0,4,0,0
