ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus_sp,Ancistrus_multispinnis,Apareiodon_vittatus ,Astyanax_ribeirae,Astyanax_laticeps,Astyanax_bimaculatus,Astyanax_paranae,Astyanax_lacustris,Astyanax_sp,Astyanax_bifasciatus,Astyanax_minor,Astyanax_serratus,Astyanax_dissimilis,Astyanax_totae,Astyanax_ita,Astyanax_gymnodontus,Bryconamericus_ikaa,Bryconamericus_sp,Bryconamericus_ikaa,Bryconamericus_stramineus,Bryconamericus_pyahu,Callichthys_callichthys,Cichlasoma_paranaense,Characidium_lanei,Characidium_pterostictum,Cnesterodon_hypselurus,Corydoras_ehrhardti,Corydoras_longipinnis,Crenicichla_iguassuensis,Crenicichla_haroldoi,Cyphocharax_sp,Deuterodon_langei,Geophagus_brasiliensis,Glandulocauda_caerulea,Gymnotus_inaequilabitaus,Kronichthys_lacerta,Heptapterus_stewarti,Hisonotus_leucofrenatus,Hisonotus_sp,Hollandichthys_multifasciatus,Hoplias_sp,Hyphessobrycon_reticulatus,Hyphessobrycon_itaparicensis,Hyphessobrycon_bifasciatus,Hypostomus_ancistroides,Hypostomus_derbyi,Hypostomus_sp,Jenynsia_eigenmanni,Melanorivulus_apiamici,Mimagoniates_microlepis,Misgurnus_anguillicaudatus,Oligosarcus_longirostris,Phallotorynus_pankalos,Pareiorhaphis_steindachneri,Pareiorhaphis_parmula,Phalloceros_spiloura,Phalloceros harpagos,Phalloceros_sp,Piabina_argentea,Pimelodella_pappenheimi,Pimelodella_sp,Prochilodus_lineatus,Poecilia_vivipara,Pseudotothyris_obtusa,Pyrhulina_australis,Rhamdia_quelen,Rhamdia_branneri,Rhamdia_voulezi,Rhamdioglanis_frenatus,Rhamdiopsis_moreirai,Rineloricaria_lima,Rineloricaria_sp,Rineloricaria_maacki,Rineloricaria_langei,Rivulus_sp,Scleromystax_barbatus,Serrapinus_notomelas,Synbranchus_sp,Trichomycterus_castroi,Trichomycterus_naipi,Trichomycterus_davisi,Trichomycterus_plumbeus,Trichomycterus_sp
P1022,-25.574699,-53.497885,Riacho_rio_Canoinhas,Fish_MAtlantica_PR,170,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1023,-25.899881,-51.600358,Rio_Preto,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1024,-26.287182,-50.583467,Riacho_Chopim,Fish_MAtlantica_PR,170,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1025,-26.361554,-50.541335,Riacho_Juquia,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1026,-26.357391,-50.330258,Riacho_rio_Andrada,Fish_MAtlantica_PR,170,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P1027,-26.195526,-50.307547,Rio_Borboleta,Fish_MAtlantica_PR,170,75,0,0,0,0,0,0,0,1,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1028,-26.191957,-50.263342,Riacho_rio_Cotegipe,Fish_MAtlantica_PR,170,45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P1029,-26.21263,-50.211512,Clube_do_Bosque,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1030,-25.591663,-49.942123,Riacho_Porto_Amazonas,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1031,-25.589823,-49.690348,Riacho_Amola_Faca,Fish_MAtlantica_PR,170,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0
P1032,-25.590102,-49.495963,Riacho_Guajuvira,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
P1033,-25.598704,-49.712226,Riacho_Serrinha,Fish_MAtlantica_PR,170,5,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1034,-25.779297,-49.139057,Rio_Abaixo,Fish_MAtlantica_PR,170,85,2,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1035,-25.589437,-49.691576,Rio_Amola_Faca,Fish_MAtlantica_PR,170,20,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
P1036,-26.13996,-50.29442,Rio_Argentina,Fish_MAtlantica_PR,170,75,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1037,-26.311363,-50.13643,Rio_Arroio_Grande,Fish_MAtlantica_PR,170,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P1038,-25.378231,-49.236733,Rio_Bacacheri,Fish_MAtlantica_PR,170,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1039,-26.357391,-50.330258,Rio_Bonito,Fish_MAtlantica_PR,170,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
