ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_falcatus,Acestrorhynchus_microlepis,Aequidens_tetramerus,Ancistrus_sp,Ancistrus_sp1,Ancistrus_sp2,Apareiodon_sp_1,Apareiodon_sp_2,Aphyocharax_alburnus,Aphyocharax_sp_1,Apistogramma_sp,Apteronotus_albifrons,Apteronotus_leptorhynchus,Aspidoras_pauciradiatus,Astyanax_argyrimarginatus,Astyanax_aff_asuncionesis,Astyanax_cf_goyacensis,Astyanax_elachylepis,Astyanax_sp,Astyanax_xavante,Biotodoma_aff_cupido,Brycon_falcatus,Bryconamerycus_sp,Bryconops_alburnoides,Bryconops_cf_melanurus,Bryconops cf_giacopinii,Bunocephalus_sp,Callichthys_callichthys,Cetopsis_sp,Cetopsorhamdia_sp,Characidium_cf_zebra,Characidium_sp_1,Characidium_sp3,Characidium_sp4,Characidium_sp5,Characidium_sp6,Cichlasoma_araguaiense,Corydoras_maculifer,Corydoras araguaiensis,Creagrutus_figueiredoi,Creagrutus_menezesi,Creagrutus_seductus,Crenicichla_johanna,Crenicichla_labrina,Crenicichla_reticulata,Crenicichla_sp,Curimatella_immaculata,Cyphocharax_gouldingi,Eigenmannia_cf_trilineata,Farlowella_aff_oxyrryncha,Farlowella aff_schreitmuelleri ,Gymnorhamphichthys_petiti,Gymnotus_cf_carapo,Gymnotus_sp,Hemigrammus_aff_levis,Hemigrammus_aff_ocelifer,Hemigrammus_cf_rodwayi,Hemigrammus_sp,Heros_aff_efasciatus,Hisonotus_sp,Hoplerythrinus_unitaeniatus,Hoplias_cf_malabaricus,Hyphessobrycon_aff_tenuis,Hyphessobrycon_sp,Hypostomus_faveolus,Hypostomus_sp_1,Hypostomus_sp_2,Hypostomus_sp_3,Hypostomus_sp_4,Hypostomus_sp_5,Hypostomus aff_cochliodon,Imparfinis_mirini,Imparfinis_sp,Ituglanis_macunaima,Jupiaba_polylepis,Jupiaba_acanthogaster,Knodus_cf_breviceps,Laetacara_araguaiae,Leporinus_cf_klausewitzi,Leporinus_friderici,Leporinus_sp1,Loricaria_sp_1,Loricaria_sp_2,Loricaria_sp_3,Mastiglanis_asopos ,Melanorivulus_zygonectes,Microglanis_sp,Microschemobrycon_sp_1,Microschemobrycon_sp_2,Moenkhausia_aurantia,Moenkhausia_cf_comma,Moenkhausia_cf_lepidura,Moenkhausia_venerei,Moenkhausia_dichroura,Moenkhausia_oligolepis,Odontostilbe_sp,Otocinclus_sp,Pamphorichthys_araguaiensis,Parancistrus_sp,Parodon_pongaensis,Parotocinclus_britskii,Parotocinclus_sp,Phenacogaster_sp,Phenacorhamdia_somnians,Pimelodella_sp_1,Pimelodella_sp_2,Pimelodella_sp_3,Pyrrhulina_australis,Prochilodus_nigricans,Pseudanos_sp,Pseudopimelodus_cf_pulcher,Retroculus_lapidifer,Rhamdia_quelen,Rineloricaria_hasemani,Roeboexodon_geryi,Satanoperca_jurupari,Serrasalmus_spilopleura,Serrapinnus_micropterus,Serrepinnus_cf_piaba,Aphanotorulus_emarginatus,Stegophilus_sp,Steindachnerina_amazonica,Sternopygus_macrurus,Sturisoma_aff_nigrirostrum,Synbranchus_marmoratus,Tetragonopterus_chalceus,Tetragnopterus_sp,Thayeria_boehlkei,Thoracocharax_cf_stellatus
P0961,-15.595504,-52.376995,Corrego 11,fish_Cerrado_MT,158,NA,0,9,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,2,270,0,0,0,0,0,22,55,0,0,0,0,27,0,0,0,0,0,0,1,1,7,0,0,0,1,2,0,0,2,0,3,1,5,0,1,0,0,10,0,0,0,0,1,2,0,0,0,0,4,0,0,0,4,0,0,16,0,11,0,0,1,5,0,1,1,0,7,0,0,0,0,13,51,11,2,10,0,0,0,1,0,5,0,4,5,10,0,19,0,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0,1,0,0,9,0,106
P0962,-15.654146,-52.341054,Corrego 12,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,1,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,19,0,0,0,0,0,0,0,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0963,-15.676866,-52.296876,Corrego 13,fish_Cerrado_MT,158,NA,0,0,0,1,0,0,0,0,0,18,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,41,0,0,0,0,6,0,0,0,0,0,0,4,40,8,0,0,0,0,0,2,1,10,3,0,0,10,0,0,0,0,4,0,0,0,0,5,56,0,4,0,0,0,0,0,0,1,0,0,0,0,131,1,0,0,2,0,12,3,1,2,0,1,0,0,0,31,17,0,36,307,0,2,0,0,0,0,443,0,0,3,0,0,0,0,0,6,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0
P0964,-15.768081,-52.15897,Corrego 14,fish_Cerrado_MT,158,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,176,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0965,-15.765042,-52.19796,Corrego 15,fish_Cerrado_MT,158,NA,1,0,3,4,0,0,0,0,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,9,27,0,0,0,0,0,2,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,46,0,0,1,12,0,0,0,0,180,0,0,0,5,0,3,0,9,1,0,0,0,0,0,0,32,0,22,184,0,0,0,0,0,0,38,1,10,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0966,-15.711797,-52.258691,Corrego 16,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,13,22,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,1,0,0,0,0,0,0,0,0,39,0,62,0,0,0,0,0,1,0,0,1,0,0,0,101,0,39,0,0,5,287,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0967,-15.799178,-52.293155,Corrego 17,fish_Cerrado_MT,158,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,1,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,1,0,0,0,1,0,0,0,10,15,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
P0968,-15.56744601,-52.52407029,Corrego 18,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,0,5,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0969,-15.55535509,-52.46990477,Corrego 19,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,16,0,5,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P0970,-15.71715047,-52.63596973,Corrego 20,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0971,-15.74185373,-52.62227507,Corrego 21,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0972,-15.75594019,-52.58935291,Corrego 22,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0973,-15.8056668,-52.42986835,Corrego 23,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0974,-15.97608951,-52.3752345,Corrego 24,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0975,-15.96025229,-52.36101308,Corrego 25,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0976,-15.90117189,-52.48340875,Corrego 26,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,88,0,0,0,0,0,4,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0977,-15.89456288,-52.47001911,Corrego 27,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107,0,0,0,0,2,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0978,-15.94042403,-52.42811823,Corrego 28,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0979,-15.86024775,-52.20240227,Corrego 29,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0980,-15.93253827,-52.02101279,Corrego 30,fish_Cerrado_MT,158,NA,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,1,1,0,0,0,0,0,14,0,0,1,0,0,3,0,2,3,0,0,0,0,0,0,0,4,1,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
P0981,-15.95347083,-52.13151695,Corrego 31,fish_Cerrado_MT,158,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0,0,3,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,68,0,0,18,0,6,75,0,0,0,0,0,0,3,0,1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
P0982,-15.78437415,-52.36235896,Corrego 32,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0983,-15.89842086,-52.18840224,Corrego 33,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,11,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,0,0,158,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0984,-15.98448182,-52.28199379,Corrego 34,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
P0985,-15.94135769,-52.25430317,Corrego 35,fish_Cerrado_MT,158,NA,0,0,0,0,0,0,0,0,5,0,0,0,0,0,46,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,4,0,0,0,0,0,274,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
