ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Potamotrygon_falkneri,Potamotrygon_motoro,Apteronotus_albifrons,Sternopygus_macrurus,Brachypopomus_pinnicaudatus,Gymnorhamphichthys_hypostomus,Gymnotus_sylvius,Gymnotus_inaequilabiatus,Gymnotus_omarorum,Gymnotus_pantanal,Gymnotus_paraguensis,Eigenmannia_trilineata,Eigenmannia_virescens,Pyrrhulina_australis,Erythrinus_erythrinus,Hoplerythrinus_unitaeniatus,Hoplias_malabaricus,Characidium_gomesi,Characidium_zebra,Characidium_lagosantense,Characidium_laterale,Curimatopsis_myersi,Parodon_nasus,Apareiodon_affinis,Apareiodon_ibitiensis,Apareiodon_piracicabae,Leporellus_vittatus,Schizodon_borellii,Leptoplosternum_pectorale,Leporinus_striatus,Leporinus_macrocephalus,Leporinus_obtusidens,Leporinus_elongatus,Leporinus_octofasciatus,Leporinus_friderici,Leporinus_lacustris,Prochilodus_lineatus,Cyphocharax_gillii,Cyphocharax_modestus,Cyphocharax_vanderi,Steindachnerina_insculpta,Steindachnerina_brevipinna,Rhaphiodon_vulpinus,Hemiodus_orthonops,Myleus_tiete,Metynnis_lippincottianus,Serrasalmus_maculatus,Serrasalmus_marginatus,Acestrorhynchus_lacustris,Salminus_brasiliensis,Salminus_hilarii,Brycon_hilarii,Hyphessobrycon_eques,Hyphessobrycon_anisitsi,Moenkhausia_forestii,Moenkhausia_bonita,Moenkhausia_intermedia,Moenkhausia_sanctaefilomenae,Hemigrammus_marginatus,Psellogrammus_kennedyi,Oligosarcus_paranensis,Oligosarcus_pintoi,Astyanax_altiparanae,Astyanax_fasciatus,Astyanax_paranae,Astyanax_bockmanni,Piabina_argentea,Bryconamericus_stramineus,Roeboides_descalvadensis,Galeocharax_knerii,Aphyocharax_sp.,Aphyocharax_dentatus,Aphyocharax_anisitsi,Serrapinnus_calliurus,Serrapinnus_heterodon,Serrapinnus_kriegi,Serrapinnus_notomelas,Serrapinnus_sp.,Scoloplax_empousa,Hisonotus_francirochai,Hisonotus_sp.1,Hisonotus_sp.2,Hisonotus_insperatus,Laetacara_dorsigera,Loricariichthys_platymetopon,Rineloricaria_lanceolata,Rineloricaria_sp.,Pyxiloricaria_menezesi,Farlowella_amazonum,Hypostomus_cochliodon,Hypostomus_albopunctatus,Hypostomus_ancistroides,Hypostomus_iheringii,Hypostomus_regani,Hypostomus_strigaticeps,Pterygoplichthys_anisitsi,Ancistrus_sp.,Hoplosternum_littorale,Callichthys_callichthys,Corydoras_aeneus,Trichomycterus_sp.,Paravandellia_oxyptera,Bunocephalus_larai,Clarias_gariepinus,Cetopsis_gobioides,Trachydoras_paraguayensis,Platydoras_armatulus,Ossancora_eigenmanni,Pterodoras_granulosus,Auchenipterus_osteomystax,Tatia_neivai,Trachelyopterus_coriaceus,Trachelyopterus_galeatus,Pimelodella_avanhandavae,Pimelodella_gracilis,Pimelodella_taenioptera,Rhamdia_quelen,Imparfinis_borodini,Imparfinis_mirini,Imparfinis_schubarti,Cetopsorhamdia_iheringi,Phenacorhamdia_tenebrosa,Pimelodus_ornatus,Pimelodus_maculatus,Sorubim_lima,Hemisorubim_platyrhynchos,Pseudoplatystoma_corruscans,Pseudopimelodus_mangurus,Synbranchus_marmoratus,Apistogramma_commbrae,Astronotus_crassipinnis,Chaetobranchopsis_australis,Cichlasoma_dimerus,Cichlasoma_paranaense,Crenicichla_britskii,Tilapia_rendalli,Melanorivulus_apiamici,Poecilia_reticulata,Phalloceros_harpagos,Odontostilbe_microcephala,Metynnis_maculatus,Piaractus_mesopotamicus,Astyanax_biotae,Astyanax_erythropterus,Knodus_moenkhausii,Moenkhausia_oligolepis,Apteronotus_ellisi,Brachyhypopomus_gauderio,Rhamphichthys_hahni,Pimelodus_mysteriosus,Pinirampus_pirinampu,Rivulus_pictus,Gymnogeophagus_setequedas,Plagioscion_squamosissimus,Catathyridium_jenynsii
P0685,-22.872222,-54.076222,Pt12,fish_Cerrado_MS3,150,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0686,-22.434694,-53.91875,Pt13,fish_Cerrado_MS3,150,NA,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0687,-22.223028,-53.750889,Pt14,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0688,-22.238694,-54.069083,Pt15,fish_Cerrado_MS3,150,NA,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P0689,-22.524917,-53.550083,Pt16,fish_Cerrado_MS3,150,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0690,-22.311306,-53.952056,Pt17,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0691,-22.316444,-54.185167,Pt18,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0692,-22.406194,-55.176333,Pt19,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0693,-22.523583,-55.466,Pt20,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0694,-21.742833,-55.012472,Pt21,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0695,-21.6425,-55.122889,Pt22,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0696,-21.546806,-55.176806,Pt23,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0697,-21.825556,-55.151722,Pt24,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0698,-21.950194,-54.631083,Pt25,fish_Cerrado_MS3,150,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0699,-21.844528,-54.48725,Pt26,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0700,-21.618944,-54.630778,Pt27,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0701,-21.530444,-55.242861,Pt28,fish_Cerrado_MS3,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
