ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_pantaneiro,Ancistrus_sp1_lisa,Ancistrus_sp2_vermiculada,Apareiodon_affinis,Aphyocharax_dentatus,Aphyocharax_rathbuni,Aphyocharax_nattereri,Apistograma_trifasciata,Astyanax_lacustris,Astyanax_lineatus,Astyanax_marionae,Astyanax_sp1,Astyanax_sp2,Brachychalcinus_retrospina,Brachyhypopomus_spC,Bryconamericus_stramineus,Bryconamericus_exodon,Brycon_hilarii,Bryconops_melanurus,Bunocephalus_doriae,Callichthys_callichthys,Chaetobranchopsis_australis,Characidium_gomesi,Characidium_laterale,Characidium_sp,Characidium_sp1,Characidium_zebra,Cichlasoma_dimerus,Corydoras_aeneus,Corydoras_aurofrenatus,Creagrutus_meridionalis,Crenicichla_lepidota,Cyphocharax_gillii,Eigenmannia_desantonai,Farlowella_paraguayensis,Gymnotus_sp,Gymnotus_paraguensis,Hemigrammus_lunatus,Hypostomus_basilisko,Hoplias_sp2,Hyphessobrycon_eques,Hyphessobrycon_luetknii,Hypostomus_cochliodon,Hypostomus_khimaera,Hypostomus_latirostris,Hypostomus_boulengeri,Imparfinis_stictonatus,Imparfinis_sp,Imparfinis_sp1,Ituglanis_eichorniarium,Jupiaba_acanthogaster,Leporellus_vittatus,Leporinus_friderici,Leporinus_lacustris,Leporinus_striatus,Loricaria_luciae,Moenkhausia_bonita,Moenkhausia_dichroura,Moenkhausia_forestii,Moenkhausia_oligolepsis,Odontostilbe_pequira,Oligosarcus_pintoi,Othothiropsis_spn,Odontostilbe_paraguaiensis,Otocincluscfbororo,Paravandellia_oxyptera,Piabarchus_analis,Piabarchus_torrenticola,Pimelodella_gracilis,Pimelodus_maculatus,Pseudopimelodus_mangurus,Prochilodus_lineatus,Psellogrammus_kennedyi,Pyrrhulina_australis,Poptella_paraguayensis,Phenacogaster_tegatus,Rhamdia_quelen,Rineloricaria_aurata,Rineloricaria_lanceolata,Rineloricaria_parva,Serrapinus_calliurus,Hyphessobrycon_elachys,Satanoperca_pappaterra,Steindachnerina_brevipinna,Steindachnerina_sp,Synbranchus_marmoratus,Xenurobrycon_macropus
P0620,-22.21141,-56.83846,APA11,Fish_Cerrado_MS2,150,NA,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,18
P0621,-22.20177,-56.78748,APA12,Fish_Cerrado_MS2,150,NA,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0
P0622,-22.15642,-56.79964,APA13,Fish_Cerrado_MS2,150,NA,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
P0623,-22.04436,-56.64331,APA14,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0
P0624,-22.00507,-56.71503,APA15,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,105,0,2,0,0,0,44,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,18,0,0,3,0,0,0
P0625,-22.03029,-57.0365,APA16,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20
P0626,-21.97575,-56.76841,APA17,Fish_Cerrado_MS2,150,NA,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P0627,-22.09589,-56.56481,APA18,Fish_Cerrado_MS2,150,NA,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,2,0,0,0,3,2,0,0,0,0,0,0,7,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,2,0,0,34,0,0,0,0,0,0
P0628,-21.73584,-56.60452,APA19,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0629,-21.98197,-56.7083,APA21,Fish_Cerrado_MS2,150,NA,0,0,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,20,2,0,0,0,0,0,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0
